sep=,
DeviceTag:,zdt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_829 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,3343444552,0.411830,-0.431467,-0.561427,-0.573619,0.016456,0.019243,-0.046306,0
2,3343461219,0.411772,-0.431521,-0.561456,-0.573592,0.061540,0.031383,-0.051996,0
3,3343477886,0.411681,-0.431604,-0.561482,-0.573569,0.033102,0.039299,-0.068391,0
4,3343494553,0.411562,-0.431705,-0.561467,-0.573593,0.010525,0.017741,-0.042882,0
5,3343511220,0.411503,-0.431764,-0.561430,-0.573628,0.005357,0.021025,-0.020047,0
6,3343527887,0.411441,-0.431820,-0.561413,-0.573646,0.015713,0.016473,-0.044285,0
7,3343544554,0.411378,-0.431877,-0.561396,-0.573665,0.049326,-0.007943,-0.048040,0
8,3343561221,0.411353,-0.431912,-0.561384,-0.573669,0.047449,-0.021501,-0.046750,0
9,3343577888,0.411330,-0.431944,-0.561392,-0.573653,0.007704,-0.009970,-0.046844,0
10,3343594555,0.411337,-0.431940,-0.561395,-0.573648,0.010074,0.014589,-0.045337,0
11,3343611222,0.411351,-0.431936,-0.561391,-0.573645,-0.004547,0.029830,-0.060007,0
12,3343627889,0.411364,-0.431939,-0.561394,-0.573631,0.002047,0.020830,-0.056169,0
13,3343644556,0.411351,-0.431946,-0.561389,-0.573640,-0.018315,0.033920,-0.059658,0
14,3343661223,0.411340,-0.431944,-0.561394,-0.573644,-0.012355,0.013950,-0.061681,0
15,3343677890,0.411330,-0.431933,-0.561421,-0.573634,-0.004579,0.012244,-0.056520,0
16,3343694557,0.411332,-0.431909,-0.561443,-0.573628,0.020847,0.015154,-0.049310,0
17,3343711224,0.411310,-0.431915,-0.561465,-0.573618,0.040736,0.025539,-0.039171,0
18,3343727891,0.411272,-0.431946,-0.561475,-0.573612,0.024720,0.024782,-0.051005,0
19,3343744558,0.411212,-0.432009,-0.561469,-0.573614,0.036449,0.024163,-0.037673,0
20,3343761225,0.411148,-0.432101,-0.561447,-0.573612,0.032638,0.017768,-0.051080,0
21,3343777892,0.411088,-0.432185,-0.561434,-0.573604,0.040205,0.024578,-0.059402,0
22,3343794559,0.411018,-0.432275,-0.561414,-0.573606,0.020770,0.014831,-0.053310,0
23,3343811226,0.410957,-0.432360,-0.561378,-0.573620,0.001332,0.023797,-0.049623,0
24,3343827893,0.410905,-0.432431,-0.561349,-0.573633,-0.015915,0.019448,-0.055683,0
25,3343844560,0.410865,-0.432465,-0.561337,-0.573648,-0.009657,-0.000238,-0.048188,0
26,3343861227,0.410847,-0.432482,-0.561335,-0.573650,0.017585,0.011881,-0.055291,0
27,3343877894,0.410839,-0.432483,-0.561344,-0.573646,0.022340,0.026920,-0.046298,0
28,3343894561,0.410849,-0.432474,-0.561349,-0.573640,0.011620,0.044992,-0.068640,0
30,3343927895,0.410835,-0.432491,-0.561309,-0.573677,0.035218,0.016309,-0.047208,0
32,3343961229,0.410874,-0.432445,-0.561216,-0.573775,0.044011,-0.004467,-0.042623,0
34,3343994563,0.410988,-0.432343,-0.561177,-0.573808,0.019369,0.012970,-0.049893,0
35,3344011230,0.411090,-0.432277,-0.561145,-0.573816,0.046670,0.009937,-0.045739,0
37,3344044564,0.411332,-0.432070,-0.561087,-0.573855,0.031399,0.032616,-0.047483,0
39,3344077898,0.411494,-0.431982,-0.561039,-0.573852,-0.006222,0.022504,-0.058777,0
41,3344111232,0.411708,-0.431860,-0.561015,-0.573815,0.015840,0.019831,-0.054017,0
43,3344144566,0.411937,-0.431712,-0.561040,-0.573736,0.013103,0.023284,-0.045309,0
44,3344161233,0.412045,-0.431647,-0.561029,-0.573718,0.006810,0.026131,-0.055929,0
46,3344194567,0.412169,-0.431572,-0.561012,-0.573703,-0.025579,0.009211,-0.048974,0
48,3344227901,0.412379,-0.431420,-0.561051,-0.573627,-0.014315,0.044191,-0.078733,0
50,3344261235,0.412613,-0.431221,-0.561171,-0.573492,0.008221,0.019804,-0.012402,0
52,3344294569,0.412806,-0.431033,-0.561266,-0.573401,0.033778,0.061730,-0.071490,0
53,3344311236,0.412871,-0.430996,-0.561299,-0.573350,0.077814,0.034359,-0.045721,0
55,3344344570,0.412906,-0.431028,-0.561303,-0.573297,0.037134,0.058960,-0.071821,0
59,3344411238,0.412942,-0.431139,-0.561218,-0.573271,0.035048,0.021716,-0.043408,0
62,3344461239,0.412854,-0.431436,-0.561172,-0.573156,-0.004724,0.010193,-0.074643,0
64,3344494573,0.412863,-0.431575,-0.561181,-0.573036,-0.005184,0.026305,-0.055863,0
68,3344561241,0.412909,-0.431721,-0.561141,-0.572932,-0.011832,0.008693,-0.048661,0
71,3344611242,0.412978,-0.431726,-0.561151,-0.572868,-0.018445,0.026179,-0.054794,0
73,3344644576,0.413026,-0.431718,-0.561145,-0.572845,0.012202,0.021902,-0.054907,0
