sep=,
DeviceTag:,zxt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_804 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,3343427885,0.482713,-0.706381,-0.215492,-0.470720,0.020941,0.051910,0.102496,0
2,3343444552,0.482725,-0.706368,-0.215517,-0.470715,0.075511,0.067570,0.103236,0
3,3343461219,0.482705,-0.706378,-0.215502,-0.470728,0.096427,0.031560,0.104791,0
4,3343477886,0.482696,-0.706369,-0.215464,-0.470768,0.097896,0.033207,0.093122,0
5,3343494553,0.482663,-0.706369,-0.215429,-0.470818,0.089021,0.033100,0.085672,0
6,3343511220,0.482636,-0.706383,-0.215370,-0.470851,0.081965,0.032125,0.117764,0
7,3343527887,0.482599,-0.706400,-0.215294,-0.470899,0.065100,0.017790,0.123466,0
8,3343544554,0.482556,-0.706407,-0.215212,-0.470970,0.053360,0.015674,0.109216,0
9,3343561221,0.482521,-0.706412,-0.215169,-0.471018,0.051913,0.037968,0.119196,0
10,3343577888,0.482495,-0.706403,-0.215162,-0.471061,0.040294,0.047080,0.113602,0
11,3343594555,0.482481,-0.706375,-0.215167,-0.471115,0.019999,0.037912,0.096769,0
12,3343611222,0.482465,-0.706355,-0.215177,-0.471157,0.005106,0.052265,0.083445,0
13,3343627889,0.482475,-0.706332,-0.215191,-0.471176,0.016042,0.051549,0.110593,0
14,3343644556,0.482524,-0.706281,-0.215248,-0.471176,0.012827,0.056007,0.098869,0
15,3343661223,0.482589,-0.706219,-0.215317,-0.471169,0.003726,0.052689,0.092854,0
16,3343677890,0.482644,-0.706170,-0.215359,-0.471168,0.018307,0.031137,0.104854,0
17,3343694557,0.482668,-0.706144,-0.215346,-0.471189,0.030838,0.015933,0.108184,0
18,3343711224,0.482683,-0.706129,-0.215328,-0.471204,0.053808,0.025830,0.092092,0
19,3343727891,0.482694,-0.706111,-0.215312,-0.471226,0.078619,0.019404,0.099937,0
20,3343744558,0.482689,-0.706101,-0.215278,-0.471263,0.073981,0.037174,0.110703,0
21,3343761225,0.482661,-0.706104,-0.215229,-0.471308,0.072995,0.051500,0.110357,0
