sep=,
DeviceTag:,Yao
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_835 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,3343427885,-0.679148,0.020083,-0.728430,0.088013,0.038134,0.002781,0.003076,0
2,3343444552,-0.679107,0.019872,-0.728432,0.088359,0.034949,0.051546,-0.029320,0
3,3343461219,-0.679049,0.019696,-0.728457,0.088636,0.000936,0.042526,-0.043269,0
4,3343477886,-0.678965,0.019557,-0.728520,0.088799,-0.000543,0.016400,-0.042402,0
5,3343494553,-0.678895,0.019406,-0.728565,0.088994,0.023957,0.023935,-0.015534,0
6,3343511220,-0.678841,0.019245,-0.728592,0.089219,0.024864,0.016514,-0.016863,0
7,3343527887,-0.678781,0.019088,-0.728626,0.089438,0.008663,-0.006687,-0.010477,0
8,3343544554,-0.678716,0.018947,-0.728666,0.089631,0.015390,-0.043463,0.011496,0
9,3343561221,-0.678673,0.018834,-0.728688,0.089799,0.019230,-0.048346,-0.002689,0
10,3343577888,-0.678642,0.018768,-0.728702,0.089936,0.019666,-0.039679,0.020360,0
11,3343594555,-0.678604,0.018708,-0.728719,0.090093,0.022671,-0.028066,0.008607,0
12,3343611222,-0.678586,0.018665,-0.728716,0.090260,0.022928,-0.022700,-0.011446,0
13,3343627889,-0.678548,0.018631,-0.728736,0.090399,0.006871,-0.036601,-0.028000,0
14,3343644556,-0.678540,0.018632,-0.728729,0.090516,-0.008704,-0.032929,-0.032548,0
15,3343661223,-0.678539,0.018638,-0.728714,0.090641,0.019067,-0.003024,-0.016333,0
16,3343677890,-0.678543,0.018653,-0.728693,0.090782,0.025446,0.020915,-0.001668,0
17,3343694557,-0.678519,0.018668,-0.728699,0.090905,0.032013,-0.007344,0.008485,0
18,3343711224,-0.678483,0.018669,-0.728723,0.090979,0.012141,-0.018685,0.003264,0
19,3343727891,-0.678452,0.018667,-0.728745,0.091032,0.014045,-0.000932,0.019670,0
20,3343744558,-0.678441,0.018661,-0.728748,0.091091,0.020596,0.001987,0.003952,0
21,3343761225,-0.678412,0.018646,-0.728766,0.091171,0.012298,0.017234,-0.007376,0
22,3343777892,-0.678396,0.018630,-0.728769,0.091268,0.013296,0.011011,-0.026635,0
23,3343794559,-0.678381,0.018608,-0.728770,0.091373,0.019987,0.002165,-0.010553,0
24,3343811226,-0.678367,0.018575,-0.728769,0.091496,0.013334,0.003729,-0.019320,0
25,3343827893,-0.678349,0.018550,-0.728771,0.091617,0.034633,-0.003001,-0.008073,0
26,3343844560,-0.678334,0.018512,-0.728772,0.091729,0.035057,0.002807,-0.003157,0
27,3343861227,-0.678321,0.018482,-0.728772,0.091827,0.028818,0.012790,0.002150,0
28,3343877894,-0.678291,0.018463,-0.728788,0.091931,0.023462,0.016028,-0.002743,0
29,3343894561,-0.678269,0.018418,-0.728794,0.092052,0.048608,0.018783,-0.011222,0
30,3343911228,-0.678245,0.018427,-0.728807,0.092125,0.024311,0.015532,-0.018709,0
31,3343927895,-0.678231,0.018421,-0.728812,0.092196,0.032096,0.015796,-0.013979,0
32,3343944562,-0.678215,0.018414,-0.728819,0.092257,0.044599,0.017724,-0.034803,0
33,3343961229,-0.678214,0.018410,-0.728813,0.092301,0.030097,0.014166,-0.016468,0
34,3343977896,-0.678225,0.018365,-0.728795,0.092372,0.045373,0.010189,-0.014753,0
35,3343994563,-0.678237,0.018309,-0.728777,0.092441,0.033726,0.018704,-0.004266,0
36,3344011230,-0.678255,0.018262,-0.728761,0.092449,0.018780,0.003389,-0.017779,0
37,3344027897,-0.678320,0.018240,-0.728707,0.092397,0.027813,-0.001793,-0.014997,0
38,3344044564,-0.678405,0.018245,-0.728641,0.092295,0.023089,0.014692,-0.011633,0
39,3344061231,-0.678538,0.018252,-0.728534,0.092160,0.022951,0.022151,-0.023084,0
40,3344077898,-0.678697,0.018268,-0.728408,0.091988,0.031090,0.011542,-0.011765,0
41,3344094565,-0.678860,0.018262,-0.728276,0.091825,0.033396,0.022641,-0.000494,0
42,3344111232,-0.679045,0.018230,-0.728128,0.091640,0.029869,0.003610,0.014180,0
43,3344127899,-0.679267,0.018263,-0.727956,0.091356,0.005194,0.025571,0.011584,0
44,3344144566,-0.679473,0.018350,-0.727803,0.091015,0.001324,0.026359,-0.015354,0
45,3344161233,-0.679655,0.018482,-0.727677,0.090648,0.003017,-0.010621,-0.029382,0
46,3344177900,-0.679789,0.018668,-0.727598,0.090226,0.025550,-0.024828,-0.039959,0
47,3344194567,-0.679916,0.018859,-0.727524,0.089832,0.011624,-0.009744,-0.014965,0
48,3344211234,-0.680038,0.019112,-0.727452,0.089438,0.007040,0.025008,0.001964,0
49,3344227901,-0.680142,0.019359,-0.727380,0.089181,0.036945,0.037192,-0.010367,0
50,3344244568,-0.680165,0.019547,-0.727377,0.088981,0.044548,0.008567,0.003560,0
51,3344261235,-0.680165,0.019719,-0.727400,0.088763,-0.003310,0.018093,0.028282,0
52,3344277902,-0.680179,0.019926,-0.727414,0.088487,0.000903,0.034510,0.005368,0
53,3344294569,-0.680219,0.020068,-0.727398,0.088284,0.009862,0.054281,0.003211,0
54,3344311236,-0.680262,0.020260,-0.727382,0.088041,-0.008723,0.063757,-0.029222,0
55,3344327903,-0.680288,0.020446,-0.727394,0.087698,-0.029319,0.032155,-0.063075,0
56,3344344570,-0.680321,0.020652,-0.727410,0.087259,-0.037051,0.029677,-0.020412,0
