sep=,
DeviceTag:,ydt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_839 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,3343444552,0.455677,-0.516383,0.443556,0.573550,0.012660,0.013815,0.077197,0
2,3343461219,0.455743,-0.516318,0.443618,0.573506,-0.016172,-0.010939,0.067403,0
3,3343477886,0.455855,-0.516218,0.443712,0.573436,-0.022386,-0.010553,0.063201,0
4,3343494553,0.455954,-0.516151,0.443828,0.573327,0.033076,0.011999,0.063936,0
5,3343511220,0.456134,-0.516008,0.443953,0.573216,0.064309,0.050620,0.070436,0
6,3343527887,0.456246,-0.515940,0.443997,0.573153,0.052655,0.019529,0.098183,0
7,3343544554,0.456330,-0.515899,0.444076,0.573063,0.035325,0.037243,0.096105,0
8,3343561221,0.456398,-0.515862,0.444118,0.573009,0.023788,0.020744,0.090692,0
9,3343577888,0.456466,-0.515806,0.444133,0.572994,0.047288,0.051146,0.094169,0
10,3343594555,0.456563,-0.515700,0.444152,0.572997,0.051689,0.057045,0.089870,0
11,3343611222,0.456635,-0.515640,0.444229,0.572935,0.057067,0.046296,0.077122,0
12,3343627889,0.456703,-0.515593,0.444301,0.572867,0.067421,0.031887,0.075832,0
13,3343644556,0.456738,-0.515579,0.444360,0.572806,0.050156,-0.007492,0.066375,0
14,3343661223,0.456783,-0.515569,0.444365,0.572774,0.057550,0.011921,0.057161,0
15,3343677890,0.456765,-0.515600,0.444358,0.572766,0.025124,0.033568,0.096129,0
16,3343694557,0.456835,-0.515528,0.444391,0.572750,-0.000116,0.041963,0.074473,0
17,3343711224,0.456990,-0.515365,0.444510,0.572681,0.003261,0.023092,0.081511,0
18,3343727891,0.457133,-0.515220,0.444656,0.572584,0.000313,0.001960,0.071102,0
19,3343744558,0.457198,-0.515143,0.444702,0.572565,0.019490,0.002200,0.077069,0
20,3343761225,0.457181,-0.515144,0.444718,0.572566,0.023817,-0.006280,0.077654,0
21,3343777892,0.457211,-0.515110,0.444737,0.572558,0.023138,0.031541,0.066994,0
22,3343794559,0.457294,-0.515042,0.444787,0.572513,0.035672,0.004530,0.071731,0
23,3343811226,0.457369,-0.514994,0.444868,0.572434,0.045618,0.023336,0.074821,0
24,3343827893,0.457452,-0.514926,0.444904,0.572402,0.019093,0.032650,0.083606,0
25,3343844560,0.457489,-0.514882,0.444899,0.572414,-0.012902,0.038213,0.075923,0
26,3343861227,0.457513,-0.514844,0.444900,0.572428,0.037352,0.050201,0.080941,0
27,3343877894,0.457530,-0.514825,0.444963,0.572383,0.052618,0.045432,0.065220,0
