sep=,
DeviceTag:,yxt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_823 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,3343411218,0.306544,-0.587594,0.329953,0.672230,0.032290,0.016276,-0.000294,0
2,3343427885,0.306431,-0.587609,0.329939,0.672275,-0.006414,-0.014929,-0.014016,0
3,3343444552,0.306314,-0.587635,0.329919,0.672316,-0.001236,-0.013716,-0.054405,0
4,3343461219,0.306249,-0.587641,0.329926,0.672337,0.012835,0.012012,-0.031019,0
5,3343477886,0.306209,-0.587657,0.329910,0.672349,0.037759,0.011226,-0.029220,0
6,3343494553,0.306169,-0.587689,0.329923,0.672333,0.029775,0.006665,-0.029459,0
7,3343511220,0.306170,-0.587715,0.329946,0.672298,0.004062,0.036490,-0.010475,0
8,3343527887,0.306233,-0.587713,0.329996,0.672247,0.029377,-0.005882,-0.014482,0
9,3343544554,0.306311,-0.587712,0.330087,0.672168,0.060701,0.012373,-0.026595,0
10,3343561221,0.306373,-0.587705,0.330152,0.672114,0.096988,-0.011129,-0.007368,0
11,3343577888,0.306394,-0.587726,0.330150,0.672086,0.071866,-0.005827,-0.003526,0
12,3343594555,0.306368,-0.587761,0.330121,0.672082,0.040792,0.018360,-0.005960,0
13,3343611222,0.306350,-0.587775,0.330103,0.672087,0.047114,0.000837,-0.045355,0
14,3343627889,0.306360,-0.587777,0.330080,0.672092,0.056509,0.020111,-0.030873,0
15,3343644556,0.306347,-0.587781,0.330067,0.672100,0.091134,-0.000286,-0.029154,0
16,3343661223,0.306323,-0.587778,0.330015,0.672140,0.086665,0.001863,-0.023499,0
17,3343677890,0.306272,-0.587787,0.329962,0.672180,0.050555,-0.001808,-0.030632,0
18,3343694557,0.306219,-0.587794,0.329893,0.672232,0.013735,0.008534,-0.030904,0
19,3343711224,0.306141,-0.587823,0.329815,0.672281,0.018780,0.013221,-0.032301,0
20,3343727891,0.306127,-0.587823,0.329768,0.672310,0.022627,-0.024071,-0.022626,0
21,3343744558,0.306109,-0.587853,0.329695,0.672329,0.011738,-0.012411,-0.014950,0
22,3343761225,0.306075,-0.587881,0.329614,0.672359,0.019137,0.004439,-0.035314,0
23,3343777892,0.306051,-0.587904,0.329545,0.672384,0.027448,0.018861,-0.037643,0
24,3343794559,0.306067,-0.587903,0.329496,0.672401,0.036730,-0.010527,-0.039133,0
25,3343811226,0.306120,-0.587883,0.329470,0.672407,0.039492,0.011637,-0.025451,0
26,3343827893,0.306151,-0.587880,0.329422,0.672420,0.066670,0.008785,-0.000434,0
27,3343844560,0.306148,-0.587889,0.329346,0.672450,0.040139,-0.003129,-0.010544,0
28,3343861227,0.306134,-0.587897,0.329285,0.672480,0.022940,0.037178,-0.019362,0
29,3343877894,0.306164,-0.587873,0.329280,0.672490,0.022146,0.005028,-0.014556,0
30,3343894561,0.306224,-0.587842,0.329288,0.672485,0.044967,0.026730,-0.027176,0
31,3343911228,0.306260,-0.587826,0.329318,0.672467,0.059330,0.033374,-0.012521,0
32,3343927895,0.306263,-0.587815,0.329311,0.672480,0.085887,-0.009514,-0.024602,0
33,3343944562,0.306242,-0.587815,0.329276,0.672507,0.065357,-0.008968,-0.008103,0
34,3343961229,0.306206,-0.587797,0.329250,0.672551,0.048623,-0.007671,-0.014639,0
35,3343977896,0.306177,-0.587755,0.329260,0.672596,0.066911,0.036903,-0.014442,0
36,3343994563,0.306154,-0.587706,0.329282,0.672639,0.090325,0.042198,-0.018619,0
37,3344011230,0.306095,-0.587673,0.329279,0.672695,0.087941,0.015647,-0.010201,0
38,3344027897,0.306017,-0.587663,0.329266,0.672746,0.083356,0.007441,-0.026310,0
39,3344044564,0.305950,-0.587677,0.329273,0.672762,0.059336,0.034313,-0.016277,0
40,3344061231,0.305938,-0.587677,0.329307,0.672750,0.051085,0.044398,-0.022182,0
41,3344077898,0.305944,-0.587657,0.329327,0.672755,0.053245,0.003518,-0.016777,0
42,3344094565,0.305912,-0.587619,0.329373,0.672781,0.050899,0.017299,-0.005608,0
43,3344111232,0.305816,-0.587629,0.329387,0.672808,0.081076,-0.013809,-0.003351,0
44,3344127899,0.305715,-0.587639,0.329337,0.672870,0.068964,-0.011941,-0.022204,0
45,3344144566,0.305639,-0.587644,0.329276,0.672930,0.000956,0.016901,-0.026595,0
46,3344161233,0.305661,-0.587629,0.329248,0.672947,-0.029942,0.029589,-0.021877,0
47,3344177900,0.305769,-0.587555,0.329322,0.672927,-0.041005,0.019979,-0.000531,0
48,3344194567,0.305833,-0.587506,0.329440,0.672883,0.004920,-0.035240,0.018514,0
49,3344211234,0.305848,-0.587451,0.329490,0.672899,0.040639,0.003665,-0.027304,0
50,3344227901,0.305867,-0.587426,0.329548,0.672883,0.081735,0.016355,-0.048651,0
51,3344244568,0.305850,-0.587438,0.329580,0.672865,0.065596,-0.014395,-0.021040,0
52,3344261235,0.305788,-0.587471,0.329574,0.672867,0.053962,0.003013,-0.000220,0
53,3344277902,0.305739,-0.587502,0.329560,0.672869,0.033790,0.036734,-0.004249,0
54,3344294569,0.305698,-0.587555,0.329572,0.672836,-0.035370,0.048472,-0.043938,0
55,3344311236,0.305767,-0.587535,0.329668,0.672776,-0.032232,0.059874,-0.073006,0
56,3344327903,0.305928,-0.587454,0.329816,0.672700,0.005639,-0.004054,-0.034315,0
57,3344344570,0.306028,-0.587420,0.329946,0.672621,0.039258,-0.026761,0.018527,0
58,3344361237,0.306059,-0.587431,0.330053,0.672544,0.081516,0.009538,-0.028998,0
59,3344377904,0.306030,-0.587465,0.330093,0.672508,0.059535,-0.004544,-0.049698,0
60,3344394571,0.306002,-0.587502,0.330112,0.672480,-0.010720,0.024502,-0.031862,0
61,3344411238,0.305992,-0.587536,0.330144,0.672438,0.008580,-0.003658,-0.001520,0
62,3344427905,0.306024,-0.587540,0.330198,0.672394,0.040526,-0.015639,-0.002404,0
63,3344444572,0.306040,-0.587573,0.330204,0.672355,0.046167,0.042441,-0.034773,0
64,3344461239,0.306022,-0.587614,0.330198,0.672330,0.041145,0.009049,-0.044313,0
65,3344477906,0.305983,-0.587642,0.330212,0.672316,0.042182,-0.032153,-0.035675,0
66,3344494573,0.305975,-0.587684,0.330251,0.672264,0.031571,-0.018144,-0.024768,0
67,3344511240,0.306011,-0.587676,0.330307,0.672228,0.035276,-0.035048,-0.054074,0
68,3344527907,0.306047,-0.587642,0.330385,0.672202,0.097467,-0.004779,-0.062294,0
69,3344544574,0.305993,-0.587662,0.330374,0.672215,0.113367,0.030387,-0.027919,0
70,3344561241,0.305928,-0.587669,0.330352,0.672249,0.073934,0.001332,0.006211,0
71,3344577908,0.305889,-0.587668,0.330356,0.672265,0.047507,-0.023595,-0.016295,0
72,3344594575,0.305837,-0.587653,0.330374,0.672294,0.035925,-0.010953,-0.037761,0
73,3344611242,0.305767,-0.587647,0.330354,0.672341,0.038536,0.003142,-0.049563,0
74,3344627909,0.305707,-0.587622,0.330342,0.672395,0.056045,0.002538,-0.018489,0
75,3344644576,0.305721,-0.587590,0.330353,0.672411,0.034044,0.004064,-0.012126,0
76,3344661243,0.305747,-0.587578,0.330347,0.672413,0.004586,-0.015487,-0.037227,0
77,3344677910,0.305747,-0.587554,0.330351,0.672432,0.041095,-0.001427,-0.043295,0
78,3344694577,0.305752,-0.587531,0.330359,0.672447,0.023237,-0.020859,-0.016963,0
79,3344711244,0.305803,-0.587495,0.330386,0.672441,0.011913,-0.003780,-0.031331,0
80,3344727911,0.305858,-0.587462,0.330418,0.672429,0.011126,0.016855,-0.047575,0
81,3344744578,0.305894,-0.587413,0.330456,0.672437,0.021493,0.010149,-0.028530,0
82,3344761245,0.305935,-0.587343,0.330520,0.672449,0.048094,0.015562,-0.020256,0
83,3344777912,0.305981,-0.587285,0.330592,0.672442,0.050218,0.014002,-0.028275,0
84,3344794579,0.306028,-0.587210,0.330661,0.672452,0.059962,-0.009890,-0.014669,0
85,3344811246,0.306049,-0.587129,0.330720,0.672485,0.074184,0.007154,-0.059349,0
86,3344827913,0.306014,-0.587065,0.330755,0.672539,0.086312,0.012811,-0.049309,0
87,3344844580,0.305930,-0.587008,0.330756,0.672626,0.107571,0.008031,-0.021379,0
88,3344861247,0.305731,-0.586992,0.330704,0.672757,0.129672,0.007597,-0.017712,0
89,3344877914,0.305508,-0.587010,0.330625,0.672882,0.099770,0.061607,-0.020369,0
90,3344894581,0.305237,-0.587008,0.330533,0.673051,0.107004,0.036361,-0.048099,0
91,3344911248,0.304991,-0.587053,0.330453,0.673163,0.112921,0.042358,-0.014447,0
92,3344927915,0.304782,-0.587095,0.330355,0.673269,0.080783,0.051312,-0.023730,0
93,3344944582,0.304586,-0.587133,0.330277,0.673363,0.041828,-0.001337,0.003764,0
94,3344961249,0.304334,-0.587178,0.330154,0.673498,0.011502,0.000148,-0.007324,0
95,3344977916,0.304099,-0.587231,0.330018,0.673624,0.010588,-0.000992,-0.026624,0
96,3344994583,0.303868,-0.587322,0.329831,0.673741,-0.015311,-0.013619,-0.039869,0
97,3345011250,0.303631,-0.587428,0.329584,0.673876,-0.009615,-0.021856,-0.043660,0
98,3345027917,0.303402,-0.587565,0.329308,0.673995,-0.038942,-0.043872,-0.034864,0
99,3345044584,0.303211,-0.587707,0.329027,0.674094,-0.060965,-0.087326,-0.008998,0
100,3345061251,0.303066,-0.587865,0.328788,0.674138,-0.103735,-0.050184,0.039687,0
101,3345077918,0.303003,-0.588035,0.328589,0.674116,-0.136917,-0.020353,0.020667,0
102,3345094585,0.303094,-0.588149,0.328521,0.674008,-0.119222,-0.019348,-0.018428,0
103,3345111252,0.303282,-0.588249,0.328505,0.673844,-0.052866,0.006670,-0.046499,0
104,3345127919,0.303501,-0.588348,0.328479,0.673672,0.012823,0.011848,-0.008402,0
105,3345144586,0.303694,-0.588465,0.328420,0.673511,0.044280,-0.026977,-0.019085,0
106,3345161253,0.303857,-0.588590,0.328336,0.673369,0.086255,-0.017121,-0.041142,0
107,3345177920,0.304006,-0.588720,0.328211,0.673249,0.076342,-0.016686,-0.015252,0
108,3345194587,0.304114,-0.588856,0.328074,0.673149,0.072575,0.013087,-0.023962,0
109,3345211254,0.304229,-0.588984,0.327951,0.673044,0.045023,0.021156,-0.059521,0
110,3345227921,0.304356,-0.589087,0.327858,0.672943,0.052144,0.025205,-0.042034,0
111,3345244588,0.304521,-0.589171,0.327763,0.672841,0.051337,0.013199,-0.028469,0
112,3345261255,0.304665,-0.589235,0.327705,0.672747,0.061805,0.003461,-0.021101,0
113,3345277922,0.304791,-0.589283,0.327667,0.672667,0.082521,0.011269,-0.020781,0
114,3345294589,0.304860,-0.589334,0.327604,0.672621,0.103305,0.037188,-0.037228,0
115,3345311256,0.304948,-0.589362,0.327547,0.672585,0.108148,0.005412,-0.032254,0
116,3345327923,0.304996,-0.589371,0.327495,0.672581,0.112607,0.000798,-0.016231,0
117,3345344590,0.304991,-0.589389,0.327394,0.672616,0.131411,-0.008881,-0.016027,0
118,3345361257,0.304895,-0.589419,0.327224,0.672716,0.190678,0.018687,-0.064899,0
119,3345377924,0.304715,-0.589474,0.327037,0.672841,0.294362,0.096717,-0.060651,0
120,3345394591,0.304488,-0.589564,0.326889,0.672936,0.366196,0.180484,-0.030289,0
121,3345411258,0.304147,-0.589631,0.326682,0.673132,0.407483,0.225129,-0.013527,0
122,3345427925,0.303703,-0.589659,0.326530,0.673382,0.400368,0.359180,-0.006779,0
123,3345444592,0.303154,-0.589674,0.326459,0.673651,0.400585,0.358828,0.002158,0
124,3345461259,0.302531,-0.589612,0.326567,0.673932,0.405109,0.356043,0.011195,0
