// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	3343444552													0.016456	0.019243	-0.046306	-0.002721	-0.999466	0.032570	0.288706	0.030398	0.956935	-0.957414	0.012007	0.288469
2	3343461219													0.061540	0.031383	-0.051996	-0.002879	-0.999463	0.032650	0.288715	0.030429	0.956931	-0.957411	0.012182	0.288472
3	3343477886													0.033102	0.039299	-0.068391	-0.003081	-0.999457	0.032806	0.288729	0.030520	0.956924	-0.957406	0.012421	0.288478
4	3343494553													0.010525	0.017741	-0.042882	-0.003222	-0.999447	0.033089	0.288758	0.030749	0.956908	-0.957397	0.012638	0.288500
5	3343511220													0.005357	0.021025	-0.020047	-0.003240	-0.999441	0.033283	0.288757	0.030931	0.956903	-0.957397	0.012711	0.288496
6	3343527887													0.015713	0.016473	-0.044285	-0.003300	-0.999435	0.033447	0.288766	0.031070	0.956895	-0.957394	0.012816	0.288500
7	3343544554													0.049326	-0.007943	-0.048040	-0.003360	-0.999429	0.033613	0.288775	0.031212	0.956888	-0.957391	0.012922	0.288505
8	3343561221													0.047449	-0.021501	-0.046750	-0.003393	-0.999426	0.033695	0.288758	0.031281	0.956891	-0.957396	0.012976	0.288487
9	3343577888													0.007704	-0.009970	-0.046844	-0.003466	-0.999425	0.033737	0.288743	0.031300	0.956895	-0.957400	0.013058	0.288469
10	3343594555													0.010074	0.014589	-0.045337	-0.003466	-0.999425	0.033718	0.288739	0.031282	0.956897	-0.957402	0.013053	0.288464
11	3343611222													-0.004547	0.029830	-0.060007	-0.003450	-0.999426	0.033698	0.288722	0.031268	0.956902	-0.957407	0.013031	0.288448
12	3343627889													0.002047	0.020830	-0.056169	-0.003462	-0.999427	0.033672	0.288696	0.031240	0.956911	-0.957415	0.013034	0.288422
13	3343644556													-0.018315	0.033920	-0.059658	-0.003462	-0.999426	0.033707	0.288705	0.031273	0.956907	-0.957412	0.013045	0.288431
14	3343661223													-0.012355	0.013950	-0.061681	-0.003471	-0.999425	0.033716	0.288727	0.031279	0.956900	-0.957405	0.013056	0.288452
15	3343677890													-0.004579	0.012244	-0.056520	-0.003511	-0.999426	0.033684	0.288764	0.031236	0.956891	-0.957394	0.013087	0.288489
16	3343694557													0.020847	0.015154	-0.049310	-0.003521	-0.999428	0.033631	0.288801	0.031182	0.956881	-0.957383	0.013081	0.288526
17	3343711224													0.040736	0.025539	-0.039171	-0.003580	-0.999428	0.033636	0.288829	0.031169	0.956873	-0.957374	0.013141	0.288552
18	3343727891													0.024720	0.024782	-0.051005	-0.003656	-0.999425	0.033701	0.288841	0.031209	0.956868	-0.957370	0.013233	0.288561
19	3343744558													0.036449	0.024163	-0.037673	-0.003751	-0.999420	0.033847	0.288836	0.031322	0.956866	-0.957371	0.013365	0.288551
20	3343761225													0.032638	0.017768	-0.051080	-0.003861	-0.999413	0.034041	0.288788	0.031476	0.956875	-0.957385	0.013525	0.288497
21	3343777892													0.040205	0.024578	-0.059402	-0.003977	-0.999407	0.034208	0.288747	0.031604	0.956884	-0.957397	0.013683	0.288450
22	3343794559													0.020770	0.014831	-0.053310	-0.004088	-0.999399	0.034408	0.288713	0.031764	0.956889	-0.957407	0.013846	0.288410
23	3343811226													0.001332	0.023797	-0.049623	-0.004155	-0.999392	0.034616	0.288671	0.031944	0.956895	-0.957419	0.013968	0.288363
24	3343827893													-0.015915	0.019448	-0.055683	-0.004212	-0.999386	0.034791	0.288638	0.032096	0.956900	-0.957429	0.014072	0.288326
25	3343844560													-0.009657	-0.000238	-0.048188	-0.004243	-0.999382	0.034898	0.288648	0.032188	0.956894	-0.957426	0.014133	0.288333
26	3343861227													0.017585	0.011881	-0.055291	-0.004268	-0.999380	0.034941	0.288650	0.032223	0.956892	-0.957425	0.014170	0.288333
27	3343877894													0.022340	0.026920	-0.046298	-0.004290	-0.999380	0.034940	0.288662	0.032215	0.956889	-0.957422	0.014191	0.288345
28	3343894561													0.011620	0.044992	-0.068640	-0.004287	-0.999381	0.034909	0.288660	0.032187	0.956891	-0.957422	0.014179	0.288343
30	3343927895													0.035218	0.016309	-0.047208	-0.004226	-0.999378	0.035009	0.288653	0.032300	0.956889	-0.957424	0.014149	0.288337
32	3343961229													0.044011	-0.004467	-0.042623	-0.003937	-0.999377	0.035074	0.288661	0.032445	0.956882	-0.957423	0.013892	0.288353
34	3343994563													0.019369	0.012970	-0.049893	-0.003673	-0.999384	0.034889	0.288638	0.032345	0.956892	-0.957431	0.013585	0.288342
35	3344011230													0.046670	0.009937	-0.045739	-0.003487	-0.999391	0.034732	0.288576	0.032249	0.956914	-0.957451	0.013360	0.288288
37	3344044564													0.031399	0.032616	-0.047483	-0.003000	-0.999407	0.034305	0.288515	0.031981	0.956941	-0.957471	0.012768	0.288248
39	3344077898													-0.006222	0.022504	-0.058777	-0.002740	-0.999416	0.034059	0.288389	0.031822	0.956984	-0.957509	0.012444	0.288133
41	3344111232													0.015840	0.019831	-0.054017	-0.002474	-0.999430	0.033666	0.288235	0.031525	0.957041	-0.957557	0.012071	0.287993
43	3344144566													0.013103	0.023284	-0.045309	-0.002276	-0.999448	0.033151	0.288100	0.031090	0.957096	-0.957598	0.011729	0.287870
44	3344161233													0.006810	0.026131	-0.055929	-0.002139	-0.999455	0.032949	0.288027	0.030937	0.957122	-0.957620	0.011538	0.287804
46	3344194567													-0.025579	0.009211	-0.048974	-0.001970	-0.999462	0.032725	0.287945	0.030772	0.957152	-0.957645	0.011309	0.287730
48	3344227901													-0.014315	0.044191	-0.078733	-0.001797	-0.999479	0.032217	0.287849	0.030336	0.957195	-0.957674	0.010994	0.287645
50	3344261235													0.008221	0.019804	-0.012402	-0.001722	-0.999502	0.031510	0.287797	0.029682	0.957231	-0.957690	0.010717	0.287603
52	3344294569													0.033778	0.061730	-0.071490	-0.001611	-0.999521	0.030921	0.287793	0.029150	0.957249	-0.957691	0.010442	0.287608
53	3344311236													0.077814	0.034359	-0.045721	-0.001621	-0.999526	0.030735	0.287748	0.028969	0.957268	-0.957705	0.010396	0.287565
55	3344344570													0.037134	0.058960	-0.071821	-0.001685	-0.999528	0.030683	0.287637	0.028902	0.957303	-0.957738	0.010439	0.287452
59	3344411238													0.035048	0.021716	-0.043408	-0.001686	-0.999524	0.030818	0.287387	0.029034	0.957374	-0.957813	0.010471	0.287201
62	3344461239													-0.004724	0.010193	-0.074643	-0.002095	-0.999511	0.031196	0.287036	0.029282	0.957472	-0.957918	0.010960	0.286834
64	3344494573													-0.005184	0.026305	-0.055863	-0.002355	-0.999509	0.031234	0.286789	0.029247	0.957547	-0.957991	0.011213	0.286579
68	3344561241													-0.011832	0.008693	-0.048661	-0.002517	-0.999507	0.031293	0.286466	0.029261	0.957643	-0.958087	0.011375	0.286251
