// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	3343427885													0.020941	0.051910	0.102496	-0.090822	-0.884831	0.456974	-0.479086	0.441103	0.758884	-0.873057	-0.150006	-0.463972
2	3343444552													0.075511	0.067570	0.103236	-0.090807	-0.884858	0.456925	-0.479069	0.441058	0.758921	-0.873067	-0.149983	-0.463959
3	3343461219													0.096427	0.031560	0.104791	-0.090822	-0.884830	0.456976	-0.479059	0.441110	0.758897	-0.873072	-0.149994	-0.463948
4	3343477886													0.097896	0.033207	0.093122	-0.090764	-0.884790	0.457065	-0.479056	0.441160	0.758870	-0.873079	-0.150082	-0.463905
5	3343494553													0.089021	0.033100	0.085672	-0.090734	-0.884732	0.457183	-0.479021	0.441254	0.758838	-0.873102	-0.150148	-0.463842
6	3343511220													0.081965	0.032125	0.117764	-0.090723	-0.884667	0.457312	-0.479038	0.441356	0.758767	-0.873093	-0.150232	-0.463830
7	3343527887													0.065100	0.017790	0.123466	-0.090705	-0.884579	0.457485	-0.479052	0.441493	0.758678	-0.873087	-0.150343	-0.463805
8	3343544554													0.053360	0.015674	0.109216	-0.090654	-0.884479	0.457689	-0.479045	0.441647	0.758593	-0.873097	-0.150484	-0.463742
9	3343561221													0.051913	0.037968	0.119196	-0.090631	-0.884414	0.457818	-0.479020	0.441752	0.758548	-0.873113	-0.150556	-0.463689
10	3343577888													0.040294	0.047080	0.113602	-0.090600	-0.884381	0.457889	-0.478963	0.441808	0.758551	-0.873147	-0.150587	-0.463614
11	3343594555													0.019999	0.037912	0.096769	-0.090525	-0.884362	0.457940	-0.478888	0.441830	0.758585	-0.873196	-0.150631	-0.463507
12	3343611222													0.005106	0.052265	0.083445	-0.090477	-0.884347	0.457977	-0.478819	0.441853	0.758616	-0.873239	-0.150651	-0.463420
13	3343627889													0.016042	0.051549	0.110593	-0.090423	-0.884360	0.457964	-0.478789	0.441822	0.758653	-0.873261	-0.150669	-0.463373
14	3343644556													0.012827	0.056007	0.098869	-0.090328	-0.884434	0.457840	-0.478755	0.441678	0.758758	-0.873289	-0.150656	-0.463323
15	3343661223													0.003726	0.052689	0.092854	-0.090214	-0.884529	0.457678	-0.478726	0.441492	0.758885	-0.873317	-0.150640	-0.463276
16	3343677890													0.018307	0.031137	0.104854	-0.090111	-0.884598	0.457566	-0.478717	0.441351	0.758973	-0.873333	-0.150653	-0.463242
17	3343694557													0.030838	0.015933	0.108184	-0.090026	-0.884603	0.457573	-0.478729	0.441316	0.758986	-0.873335	-0.150725	-0.463214
18	3343711224													0.053808	0.025830	0.092092	-0.089968	-0.884599	0.457591	-0.478746	0.441302	0.758983	-0.873332	-0.150786	-0.463202
19	3343727891													0.078619	0.019404	0.099937	-0.089905	-0.884593	0.457616	-0.478750	0.441294	0.758985	-0.873336	-0.150848	-0.463173
20	3343744558													0.073981	0.037174	0.110703	-0.089846	-0.884559	0.457694	-0.478749	0.441334	0.758962	-0.873343	-0.150931	-0.463134
21	3343761225													0.072995	0.051500	0.110357	-0.089814	-0.884497	0.457820	-0.478740	0.441429	0.758913	-0.873351	-0.151016	-0.463090
22	3343777892													0.072235	0.066168	0.090510	-0.089739	-0.884443	0.457938	-0.478720	0.441500	0.758884	-0.873369	-0.151123	-0.463021
23	3343794559													0.048280	0.058368	0.092993	-0.089644	-0.884424	0.457993	-0.478710	0.441506	0.758887	-0.873385	-0.151217	-0.462961
24	3343811226													0.051070	0.045939	0.103736	-0.089570	-0.884416	0.458024	-0.478729	0.441496	0.758881	-0.873382	-0.151297	-0.462940
25	3343827893													0.046744	0.043085	0.109860	-0.089482	-0.884379	0.458112	-0.478762	0.441526	0.758843	-0.873373	-0.151424	-0.462916
26	3343844560													0.035948	0.056692	0.112728	-0.089448	-0.884331	0.458212	-0.478801	0.441588	0.758781	-0.873355	-0.151521	-0.462918
27	3343861227													0.022844	0.039798	0.094759	-0.089420	-0.884269	0.458337	-0.478824	0.441680	0.758714	-0.873345	-0.151618	-0.462904
28	3343877894													0.055826	0.058098	0.092879	-0.089364	-0.884225	0.458432	-0.478858	0.441729	0.758663	-0.873332	-0.151726	-0.462893
29	3343894561													0.054784	0.064449	0.111561	-0.089326	-0.884190	0.458507	-0.478914	0.441766	0.758607	-0.873305	-0.151822	-0.462912
30	3343911228													0.064453	0.070840	0.096270	-0.089307	-0.884155	0.458578	-0.478969	0.441809	0.758547	-0.873277	-0.151901	-0.462940
31	3343927895													0.092083	0.074263	0.115224	-0.089271	-0.884111	0.458671	-0.479030	0.441862	0.758477	-0.873247	-0.152007	-0.462961
32	3343944562													0.082402	0.054902	0.105601	-0.089224	-0.884079	0.458741	-0.479097	0.441889	0.758420	-0.873216	-0.152112	-0.462986
33	3343961229													0.077058	0.069761	0.117524	-0.089188	-0.884060	0.458784	-0.479145	0.441901	0.758382	-0.873193	-0.152186	-0.463005
34	3343977896													0.085841	0.061778	0.114908	-0.089183	-0.884065	0.458776	-0.479199	0.441883	0.758359	-0.873164	-0.152212	-0.463051
35	3343994563													0.077595	0.059016	0.112698	-0.089163	-0.884072	0.458766	-0.479240	0.441858	0.758347	-0.873143	-0.152243	-0.463080
36	3344011230													0.080874	0.054852	0.109262	-0.089175	-0.884081	0.458746	-0.479257	0.441843	0.758345	-0.873133	-0.152232	-0.463103
37	3344027897													0.084944	0.080948	0.110300	-0.089188	-0.884101	0.458706	-0.479258	0.441815	0.758361	-0.873131	-0.152202	-0.463117
38	3344044564													0.077881	0.067984	0.105623	-0.089208	-0.884113	0.458678	-0.479280	0.441796	0.758358	-0.873117	-0.152183	-0.463149
39	3344061231													0.059934	0.058108	0.093743	-0.089236	-0.884134	0.458632	-0.479308	0.441765	0.758359	-0.873099	-0.152153	-0.463194
40	3344077898													0.067724	0.065467	0.103670	-0.089289	-0.884165	0.458562	-0.479343	0.441722	0.758361	-0.873074	-0.152095	-0.463259
41	3344094565													0.053075	0.071672	0.118956	-0.089361	-0.884207	0.458468	-0.479376	0.441669	0.758372	-0.873048	-0.152010	-0.463335
42	3344111232													0.039182	0.080692	0.113241	-0.089400	-0.884273	0.458333	-0.479404	0.441566	0.758414	-0.873029	-0.151924	-0.463400
43	3344127899													0.043464	0.063930	0.113418	-0.089449	-0.884340	0.458194	-0.479463	0.441459	0.758439	-0.872992	-0.151845	-0.463496
44	3344144566													0.043686	0.060144	0.103235	-0.089489	-0.884397	0.458075	-0.479522	0.441365	0.758456	-0.872955	-0.151784	-0.463585
45	3344161233													0.043507	0.053157	0.109674	-0.089556	-0.884440	0.457979	-0.479556	0.441307	0.758468	-0.872930	-0.151701	-0.463660
46	3344177900													0.014814	0.067118	0.085531	-0.089584	-0.884497	0.457863	-0.479595	0.441214	0.758498	-0.872905	-0.151640	-0.463726
47	3344194567													0.013368	0.058755	0.096515	-0.089645	-0.884566	0.457719	-0.479638	0.441110	0.758531	-0.872875	-0.151541	-0.463815
48	3344211234													0.006199	0.072721	0.117354	-0.089685	-0.884655	0.457540	-0.479683	0.440967	0.758586	-0.872846	-0.151440	-0.463902
49	3344227901													-0.000141	0.074549	0.099748	-0.089761	-0.884765	0.457312	-0.479732	0.440798	0.758653	-0.872812	-0.151290	-0.464016
50	3344244568													0.012601	0.066895	0.089046	-0.089843	-0.884892	0.457051	-0.479806	0.440598	0.758722	-0.872763	-0.151130	-0.464161
51	3344261235													0.033740	0.067822	0.137969	-0.089923	-0.885036	0.456756	-0.479887	0.440368	0.758805	-0.872710	-0.150957	-0.464316
52	3344277902													0.029526	0.077928	0.095539	-0.089997	-0.885174	0.456473	-0.479977	0.440144	0.758877	-0.872652	-0.150800	-0.464475
53	3344294569													0.053353	0.070101	0.121304	-0.090063	-0.885293	0.456229	-0.480063	0.439950	0.758936	-0.872599	-0.150666	-0.464619
54	3344311236													0.077431	0.067969	0.119715	-0.090209	-0.885381	0.456030	-0.480168	0.439828	0.758940	-0.872526	-0.150508	-0.464808
55	3344327903													0.100308	0.047406	0.116215	-0.090313	-0.885437	0.455899	-0.480220	0.439754	0.758950	-0.872486	-0.150389	-0.464920
56	3344344570													0.103926	0.065911	0.104322	-0.090388	-0.885461	0.455839	-0.480242	0.439733	0.758948	-0.872466	-0.150313	-0.464982
