// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	3343427885													0.038134	0.002781	0.003076	-0.062025	0.100944	0.992957	-0.155501	-0.983701	0.090289	0.985887	-0.148806	0.076711
2	3343444552													0.034949	0.051546	-0.029320	-0.062014	0.101736	0.992877	-0.155717	-0.983596	0.091059	0.985853	-0.148961	0.076839
3	3343461219													0.000936	0.042526	-0.043269	-0.062074	0.102386	0.992806	-0.155884	-0.983511	0.091681	0.985823	-0.149072	0.077010
4	3343477886													-0.000543	0.016400	-0.042402	-0.062245	0.102826	0.992750	-0.155940	-0.983465	0.092087	0.985803	-0.149078	0.077251
5	3343494553													0.023957	0.023935	-0.015534	-0.062365	0.103326	0.992690	-0.156025	-0.983407	0.092558	0.985782	-0.149112	0.077452
6	3343511220													0.024864	0.016514	-0.016863	-0.062431	0.103880	0.992628	-0.156137	-0.983339	0.093087	0.985760	-0.149174	0.077611
7	3343527887													0.008663	-0.006687	-0.010477	-0.062517	0.104420	0.992566	-0.156246	-0.983273	0.093601	0.985738	-0.149233	0.077787
8	3343544554													0.015390	-0.043463	0.011496	-0.062624	0.104903	0.992509	-0.156341	-0.983215	0.094056	0.985716	-0.149280	0.077973
9	3343561221													0.019230	-0.048346	-0.002689	-0.062680	0.105306	0.992462	-0.156435	-0.983163	0.094440	0.985697	-0.149336	0.078098
10	3343577888													0.019666	-0.039679	0.020360	-0.062715	0.105599	0.992429	-0.156546	-0.983119	0.094716	0.985677	-0.149421	0.078188
11	3343594555													0.022671	-0.028066	0.008607	-0.062761	0.105914	0.992393	-0.156695	-0.983067	0.095009	0.985651	-0.149540	0.078295
12	3343611222													0.022928	-0.022700	-0.011446	-0.062749	0.106216	0.992361	-0.156879	-0.983010	0.095295	0.985622	-0.149701	0.078346
13	3343627889													0.006871	-0.036601	-0.028000	-0.062804	0.106470	0.992331	-0.157038	-0.982962	0.095526	0.985594	-0.149834	0.078453
14	3343644556													-0.008704	-0.032929	-0.032548	-0.062783	0.106638	0.992314	-0.157208	-0.982919	0.095682	0.985568	-0.149992	0.078475
