// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	3343444552													0.012660	0.013815	0.077197	0.073208	-0.979416	-0.188107	0.038196	0.191229	-0.980802	0.996585	0.064618	0.051409
2	3343461219													-0.016172	-0.010939	0.067403	0.073230	-0.979460	-0.187873	0.038219	0.190996	-0.980846	0.996582	0.064647	0.051421
3	3343477886													-0.022386	-0.010553	0.063201	0.073272	-0.979528	-0.187500	0.038240	0.190627	-0.980917	0.996579	0.064703	0.051425
4	3343494553													0.033076	0.011999	0.063936	0.073203	-0.979606	-0.187118	0.038235	0.190240	-0.980993	0.996584	0.064657	0.051382
5	3343511220													0.064309	0.050620	0.070436	0.073277	-0.979706	-0.186565	0.038225	0.189690	-0.981100	0.996579	0.064760	0.051349
6	3343527887													0.052655	0.019529	0.098183	0.073338	-0.979755	-0.186283	0.038166	0.189406	-0.981157	0.996577	0.064846	0.051284
7	3343544554													0.035325	0.037243	0.096105	0.073283	-0.979814	-0.185996	0.038127	0.189114	-0.981215	0.996582	0.064815	0.051216
8	3343561221													0.023788	0.020744	0.090692	0.073285	-0.979851	-0.185799	0.038091	0.188914	-0.981255	0.996583	0.064834	0.051168
9	3343577888													0.047288	0.051146	0.094169	0.073374	-0.979873	-0.185646	0.038076	0.188764	-0.981284	0.996577	0.064932	0.051160
10	3343594555													0.051689	0.057045	0.089870	0.073558	-0.979902	-0.185424	0.038097	0.188553	-0.981324	0.996563	0.065121	0.051201
11	3343611222													0.057067	0.046296	0.077122	0.073546	-0.979953	-0.185156	0.038110	0.188285	-0.981375	0.996563	0.065120	0.051194
12	3343627889													0.067421	0.031887	0.075832	0.073515	-0.980003	-0.184906	0.038105	0.188033	-0.981423	0.996566	0.065104	0.051167
13	3343644556													0.050156	-0.007492	0.066375	0.073439	-0.980039	-0.184742	0.038095	0.187864	-0.981456	0.996572	0.065040	0.051132
14	3343661223													0.057550	0.011921	0.057161	0.073450	-0.980055	-0.184654	0.038035	0.187772	-0.981476	0.996573	0.065066	0.051069
15	3343677890													0.025124	0.033568	0.096129	0.073398	-0.980050	-0.184703	0.038011	0.187817	-0.981468	0.996578	0.065017	0.051038
16	3343694557													-0.000116	0.041963	0.074473	0.073489	-0.980079	-0.184512	0.038028	0.187631	-0.981503	0.996571	0.065113	0.051059
17	3343711224													0.003261	0.023092	0.081511	0.073614	-0.980164	-0.184007	0.038092	0.187137	-0.981595	0.996559	0.065250	0.051112
18	3343727891													0.000313	0.001960	0.071102	0.073653	-0.980260	-0.183481	0.038158	0.186616	-0.981692	0.996554	0.065303	0.051149
19	3343744558													0.019490	0.002200	0.077069	0.073729	-0.980293	-0.183273	0.038197	0.186414	-0.981728	0.996547	0.065381	0.051189
20	3343761225													0.023817	-0.006280	0.077654	0.073699	-0.980295	-0.183276	0.038233	0.186418	-0.981726	0.996547	0.065345	0.051218
21	3343777892													0.023138	0.031541	0.066994	0.073736	-0.980309	-0.183185	0.038248	0.186329	-0.981743	0.996544	0.065383	0.051234
22	3343794559													0.035672	0.004530	0.071731	0.073786	-0.980351	-0.182941	0.038242	0.186087	-0.981789	0.996541	0.065446	0.051221
23	3343811226													0.045618	0.023336	0.074821	0.073741	-0.980406	-0.182664	0.038231	0.185807	-0.981842	0.996544	0.065419	0.051183
24	3343827893													0.019093	0.032650	0.083606	0.073818	-0.980441	-0.182446	0.038220	0.185592	-0.981883	0.996539	0.065508	0.051173
25	3343844560													-0.012902	0.038213	0.075923	0.073916	-0.980446	-0.182380	0.038227	0.185531	-0.981894	0.996532	0.065606	0.051194
26	3343861227													0.037352	0.050201	0.080941	0.073992	-0.980450	-0.182329	0.038251	0.185485	-0.981902	0.996525	0.065679	0.051228
27	3343877894													0.052618	0.045432	0.065220	0.073920	-0.980481	-0.182188	0.038283	0.185343	-0.981928	0.996529	0.065609	0.051236
28	3343894561													0.052320	0.069783	0.072645	0.073868	-0.980501	-0.182105	0.038294	0.185258	-0.981944	0.996533	0.065560	0.051232
29	3343911228													0.054677	0.053629	0.092651	0.073877	-0.980497	-0.182119	0.038294	0.185273	-0.981941	0.996532	0.065569	0.051234
30	3343927895													0.035816	0.033221	0.076141	0.073940	-0.980496	-0.182100	0.038317	0.185258	-0.981943	0.996526	0.065627	0.051268
31	3343944562													0.091703	0.019411	0.085227	0.073966	-0.980493	-0.182108	0.038339	0.185269	-0.981940	0.996524	0.065648	0.051294
32	3343961229													0.105322	0.042163	0.079101	0.073994	-0.980461	-0.182267	0.038336	0.185430	-0.981909	0.996522	0.065668	0.051308
33	3343977896													0.070440	0.073626	0.070654	0.073970	-0.980402	-0.182593	0.038254	0.185749	-0.981852	0.996526	0.065643	0.051244
34	3343994563													0.029555	0.111871	0.082960	0.073951	-0.980379	-0.182726	0.038187	0.185877	-0.981831	0.996530	0.065630	0.051183
35	3344011230													0.017729	0.086502	0.088599	0.073957	-0.980365	-0.182796	0.038147	0.185945	-0.981819	0.996532	0.065639	0.051150
36	3344027897													0.069255	0.037455	0.075768	0.073887	-0.980352	-0.182898	0.038118	0.186041	-0.981802	0.996538	0.065570	0.051115
37	3344044564													0.096636	0.037801	0.079224	0.073906	-0.980308	-0.183121	0.038066	0.186262	-0.981762	0.996538	0.065587	0.051082
38	3344061231													0.067713	0.025959	0.093538	0.073934	-0.980229	-0.183537	0.037984	0.186675	-0.981687	0.996540	0.065608	0.051034
39	3344077898													0.043497	0.081196	0.100826	0.073982	-0.980140	-0.183989	0.037890	0.187124	-0.981605	0.996539	0.065650	0.050981
40	3344094565													0.018311	0.049297	0.086019	0.073962	-0.980035	-0.184555	0.037804	0.187684	-0.981502	0.996544	0.065617	0.050931
41	3344111232													0.028202	0.021094	0.084027	0.073895	-0.979941	-0.185080	0.037730	0.188201	-0.981405	0.996552	0.065538	0.050880
42	3344127899													0.022069	0.003821	0.087146	0.073862	-0.979848	-0.185585	0.037656	0.188701	-0.981312	0.996557	0.065494	0.050835
43	3344144566													0.047631	0.024567	0.064729	0.073864	-0.979732	-0.186199	0.037581	0.189311	-0.981198	0.996560	0.065478	0.050802
44	3344161233													0.022370	0.025871	0.055371	0.073832	-0.979610	-0.186849	0.037450	0.189951	-0.981079	0.996567	0.065438	0.050711
45	3344177900													0.006329	0.044270	0.087040	0.073921	-0.979481	-0.187491	0.037352	0.190592	-0.980958	0.996564	0.065510	0.050674
46	3344194567													0.003688	0.006884	0.093141	0.073939	-0.979353	-0.188150	0.037348	0.191253	-0.980830	0.996563	0.065495	0.050718
47	3344211234													0.017204	0.081042	0.102641	0.073931	-0.979209	-0.188901	0.037411	0.192009	-0.980680	0.996561	0.065436	0.050829
48	3344227901													0.013671	0.078787	0.075042	0.073782	-0.979113	-0.189456	0.037500	0.192563	-0.980568	0.996569	0.065244	0.050925
49	3344244568													-0.010159	-0.020244	0.052031	0.073704	-0.979010	-0.190019	0.037558	0.193127	-0.980455	0.996573	0.065127	0.051004
50	3344261235													-0.013596	-0.003319	0.103033	0.073598	-0.978884	-0.190707	0.037584	0.193812	-0.980319	0.996580	0.064982	0.051054
51	3344277902													-0.005051	0.052946	0.108582	0.073449	-0.978796	-0.191219	0.037643	0.194321	-0.980216	0.996588	0.064798	0.051117
52	3344294569													0.032881	0.037822	0.052823	0.073340	-0.978661	-0.191948	0.037648	0.195046	-0.980071	0.996596	0.064652	0.051149
53	3344311236													-0.014098	0.075109	0.053576	0.073256	-0.978542	-0.192587	0.037623	0.195680	-0.979946	0.996603	0.064541	0.051151
54	3344327903													-0.039113	0.039227	0.058296	0.073288	-0.978454	-0.193020	0.037651	0.196117	-0.979857	0.996600	0.064545	0.051212
55	3344344570													-0.034569	-0.004261	0.110551	0.073279	-0.978385	-0.193372	0.037681	0.196471	-0.979785	0.996599	0.064511	0.051264
56	3344361237													0.031851	0.037861	0.062259	0.073153	-0.978314	-0.193781	0.037665	0.196873	-0.979705	0.996609	0.064369	0.051250
57	3344377904													0.037946	0.103634	0.049859	0.073122	-0.978283	-0.193947	0.037652	0.197037	-0.979673	0.996612	0.064333	0.051242
58	3344394571													-0.003946	-0.020803	0.070428	0.073229	-0.978237	-0.194137	0.037621	0.197230	-0.979635	0.996605	0.064434	0.051245
59	3344411238													-0.046812	-0.031787	0.133447	0.073184	-0.978167	-0.194511	0.037548	0.197598	-0.979564	0.996611	0.064385	0.051189
60	3344427905													-0.030176	0.026028	0.132882	0.072869	-0.978140	-0.194763	0.037517	0.197832	-0.979518	0.996636	0.064070	0.051113
61	3344444572													0.000002	0.076221	0.054614	0.072624	-0.978105	-0.195028	0.037512	0.198085	-0.979467	0.996654	0.063817	0.051077
62	3344461239													0.009658	0.117853	0.074224	0.072533	-0.978025	-0.195466	0.037506	0.198518	-0.979379	0.996661	0.063706	0.051081
63	3344477906													-0.028136	0.054754	0.088191	0.072440	-0.978017	-0.195539	0.037559	0.198590	-0.979363	0.996665	0.063600	0.051119
64	3344494573													-0.006370	-0.064826	0.071729	0.072321	-0.978030	-0.195517	0.037649	0.198568	-0.979364	0.996671	0.063467	0.051183
65	3344511240													0.076474	-0.012959	0.072158	0.072196	-0.978036	-0.195532	0.037661	0.198577	-0.979361	0.996679	0.063342	0.051171
66	3344527907													0.057055	0.061148	0.044901	0.072150	-0.978014	-0.195662	0.037628	0.198702	-0.979337	0.996684	0.063297	0.051138
67	3344544574													0.018770	0.056686	0.083851	0.072126	-0.978021	-0.195636	0.037634	0.198676	-0.979342	0.996685	0.063274	0.051136
68	3344561241													-0.011873	0.025992	0.117848	0.072185	-0.978027	-0.195583	0.037650	0.198627	-0.979352	0.996680	0.063331	0.051160
69	3344577908													0.017172	0.016490	0.088917	0.072108	-0.978033	-0.195583	0.037665	0.198624	-0.979352	0.996685	0.063252	0.051160
70	3344594575													0.019129	0.032629	0.051333	0.072082	-0.978009	-0.195712	0.037654	0.198751	-0.979326	0.996688	0.063222	0.051152
71	3344611242													0.062888	0.049062	0.055461	0.072130	-0.977963	-0.195924	0.037600	0.198962	-0.979286	0.996686	0.063270	0.051123
72	3344627909													-0.021984	0.005189	0.085310	0.072206	-0.977949	-0.195963	0.037576	0.199003	-0.979278	0.996682	0.063346	0.051117
73	3344644576													-0.021439	0.000151	0.106992	0.072179	-0.977923	-0.196106	0.037565	0.199145	-0.979250	0.996684	0.063315	0.051110
74	3344661243													-0.023670	0.018683	0.060692	0.072111	-0.977897	-0.196259	0.037526	0.199292	-0.979221	0.996690	0.063247	0.051068
75	3344677910													-0.004315	0.033572	0.072133	0.072197	-0.977914	-0.196144	0.037497	0.199179	-0.979245	0.996685	0.063344	0.051050
