// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
1	3343411218													0.032290	0.016276	-0.000294	0.091727	-0.803857	-0.587708	0.083362	0.594323	-0.799894	0.992289	0.024379	0.121526
2	3343427885													-0.006414	-0.014929	-0.014016	0.091710	-0.803745	-0.587864	0.083496	0.594480	-0.799764	0.992279	0.024262	0.121629
3	3343444552													-0.001236	-0.013716	-0.054405	0.091676	-0.803622	-0.588036	0.083618	0.594650	-0.799625	0.992272	0.024136	0.121712
4	3343461219													0.012835	0.012012	-0.031019	0.091653	-0.803573	-0.588107	0.083714	0.594720	-0.799562	0.992266	0.024049	0.121778
5	3343477886													0.037759	0.011226	-0.029220	0.091636	-0.803522	-0.588179	0.083738	0.594790	-0.799508	0.992266	0.024011	0.121789
6	3343494553													0.029775	0.006665	-0.029459	0.091544	-0.803502	-0.588222	0.083772	0.594822	-0.799480	0.992271	0.023911	0.121763
7	3343511220													0.004062	0.036490	-0.010475	0.091452	-0.803527	-0.588201	0.083763	0.594790	-0.799505	0.992280	0.023847	0.121700
8	3343527887													0.029377	-0.005882	-0.014482	0.091391	-0.803633	-0.588066	0.083724	0.594647	-0.799615	0.992289	0.023843	0.121628
9	3343544554													0.060701	0.012373	-0.026595	0.091274	-0.803794	-0.587864	0.083703	0.594432	-0.799778	0.992302	0.023793	0.121536
10	3343561221													0.096988	-0.011129	-0.007368	0.091204	-0.803914	-0.587711	0.083686	0.594270	-0.799900	0.992310	0.023771	0.121476
11	3343577888													0.071866	-0.005827	-0.003526	0.091156	-0.803932	-0.587694	0.083627	0.594246	-0.799924	0.992319	0.023771	0.121400
12	3343594555													0.040792	0.018360	-0.005960	0.091113	-0.803880	-0.587771	0.083595	0.594317	-0.799875	0.992326	0.023744	0.121350
13	3343611222													0.047114	0.000837	-0.045355	0.091104	-0.803847	-0.587819	0.083586	0.594363	-0.799841	0.992327	0.023735	0.121339
14	3343627889													0.056509	0.020111	-0.030873	0.091130	-0.803832	-0.587835	0.083546	0.594381	-0.799832	0.992328	0.023777	0.121322
15	3343644556													0.091134	-0.000286	-0.029154	0.091136	-0.803808	-0.587867	0.083546	0.594414	-0.799808	0.992328	0.023777	0.121328
16	3343661223													0.086665	0.001863	-0.023499	0.091213	-0.803733	-0.587957	0.083533	0.594512	-0.799736	0.992322	0.023833	0.121365
17	3343677890													0.050555	-0.001808	-0.030632	0.091260	-0.803636	-0.588083	0.083543	0.594644	-0.799637	0.992317	0.023845	0.121405
18	3343694557													0.013735	0.008534	-0.030904	0.091335	-0.803519	-0.588231	0.083542	0.594800	-0.799521	0.992310	0.023882	0.121454
19	3343711224													0.018780	0.013221	-0.032301	0.091370	-0.803372	-0.588426	0.083543	0.594999	-0.799373	0.992306	0.023880	0.121482
20	3343727891													0.022627	-0.024071	-0.022626	0.091432	-0.803312	-0.588498	0.083516	0.595078	-0.799317	0.992303	0.023934	0.121498
21	3343744558													0.011738	-0.012411	-0.014950	0.091459	-0.803222	-0.588617	0.083433	0.595197	-0.799237	0.992307	0.023988	0.121451
22	3343761225													0.019137	0.004439	-0.035314	0.091499	-0.803111	-0.588762	0.083367	0.595345	-0.799134	0.992309	0.024037	0.121426
23	3343777892													0.027448	0.018861	-0.037643	0.091537	-0.803020	-0.588880	0.083304	0.595465	-0.799050	0.992311	0.024086	0.121402
24	3343794559													0.036730	-0.010527	-0.039133	0.091603	-0.802984	-0.588919	0.083232	0.595510	-0.799025	0.992311	0.024176	0.121384
25	3343811226													0.039492	0.011637	-0.025451	0.091684	-0.803003	-0.588880	0.083151	0.595479	-0.799056	0.992310	0.024295	0.121366
26	3343827893													0.066670	0.008785	-0.000434	0.091755	-0.802981	-0.588899	0.083060	0.595505	-0.799046	0.992311	0.024403	0.121336
27	3343844560													0.040139	-0.003129	-0.010544	0.091834	-0.802901	-0.588996	0.082976	0.595608	-0.798978	0.992311	0.024501	0.121318
28	3343861227													0.022940	0.037178	-0.019362	0.091896	-0.802827	-0.589088	0.082925	0.595706	-0.798910	0.992310	0.024567	0.121317
29	3343877894													0.022146	0.005028	-0.014556	0.091959	-0.802847	-0.589051	0.082904	0.595676	-0.798935	0.992306	0.024635	0.121337
30	3343894561													0.044967	0.026730	-0.027176	0.092021	-0.802907	-0.588959	0.082860	0.595592	-0.799002	0.992304	0.024724	0.121336
31	3343911228													0.059330	0.033374	-0.012521	0.092018	-0.802969	-0.588875	0.082856	0.595508	-0.799065	0.992304	0.024736	0.121328
32	3343927895													0.085887	-0.009514	-0.024602	0.092054	-0.802963	-0.588877	0.082858	0.595514	-0.799061	0.992301	0.024764	0.121352
33	3343944562													0.065357	-0.008968	-0.008103	0.092101	-0.802909	-0.588944	0.082854	0.595586	-0.799007	0.992297	0.024793	0.121378
34	3343961229													0.048623	-0.007671	-0.014639	0.092176	-0.802851	-0.589012	0.082901	0.595664	-0.798944	0.992286	0.024814	0.121463
35	3343977896													0.066911	0.036903	-0.014442	0.092262	-0.802834	-0.589021	0.083004	0.595686	-0.798917	0.992269	0.024818	0.121597
36	3343994563													0.090325	0.042198	-0.018619	0.092349	-0.802834	-0.589007	0.083119	0.595686	-0.798905	0.992251	0.024820	0.121741
37	3344011230													0.087941	0.015647	-0.010201	0.092429	-0.802779	-0.589070	0.083241	0.595761	-0.798836	0.992234	0.024800	0.121890
38	3344027897													0.083356	0.007441	-0.026310	0.092470	-0.802697	-0.589175	0.083355	0.595874	-0.798740	0.992220	0.024749	0.122009
39	3344044564													0.059336	0.034313	-0.016277	0.092429	-0.802645	-0.589252	0.083445	0.595947	-0.798676	0.992217	0.024651	0.122060
40	3344061231													0.051085	0.044398	-0.022182	0.092383	-0.802670	-0.589226	0.083497	0.595917	-0.798693	0.992216	0.024587	0.122074
41	3344077898													0.053245	0.003518	-0.016777	0.092404	-0.802695	-0.589188	0.083533	0.595883	-0.798715	0.992212	0.024588	0.122113
42	3344094565													0.050899	0.017299	-0.005608	0.092434	-0.802712	-0.589160	0.083672	0.595862	-0.798716	0.992197	0.024532	0.122243
43	3344111232													0.081076	-0.013809	-0.003351	0.092391	-0.802643	-0.589261	0.083816	0.595961	-0.798627	0.992189	0.024396	0.122335
44	3344127899													0.068964	-0.011941	-0.022204	0.092433	-0.802504	-0.589444	0.083902	0.596150	-0.798477	0.992178	0.024350	0.122436
45	3344144566													0.000956	0.016901	-0.026595	0.092502	-0.802375	-0.589608	0.083946	0.596323	-0.798343	0.992168	0.024353	0.122517
46	3344161233													-0.029942	0.029589	-0.021877	0.092574	-0.802365	-0.589611	0.083903	0.596334	-0.798340	0.992164	0.024436	0.122526
47	3344177900													-0.041005	0.019979	-0.000531	0.092652	-0.802532	-0.589371	0.083907	0.596104	-0.798511	0.992157	0.024531	0.122568
48	3344194567													0.004920	-0.035240	0.018514	0.092611	-0.802707	-0.589139	0.083992	0.595871	-0.798676	0.992153	0.024484	0.122605
49	3344211234													0.040639	0.003665	-0.027304	0.092674	-0.802770	-0.589044	0.084086	0.595786	-0.798729	0.992140	0.024491	0.122715
50	3344227901													0.081735	0.016355	-0.048651	0.092655	-0.802845	-0.588944	0.084146	0.595686	-0.798798	0.992136	0.024455	0.122750
51	3344244568													0.065596	-0.014395	-0.021040	0.092585	-0.802863	-0.588930	0.084190	0.595665	-0.798809	0.992139	0.024376	0.122743
52	3344261235													0.053962	0.003013	-0.000220	0.092515	-0.802804	-0.589022	0.084236	0.595748	-0.798742	0.992142	0.024279	0.122741
53	3344277902													0.033790	0.036734	-0.004249	0.092461	-0.802748	-0.589107	0.084257	0.595827	-0.798681	0.992145	0.024210	0.122728
