// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
0	2974023062													0.000000	0.000000	0.000000	-0.721560	-0.692346	-0.003031	-0.692338	0.721566	-0.003199	0.004401	-0.000210	-0.999990
1	2974031395													0.060492	0.015944	-9.653234	-0.721541	-0.692365	-0.003006	-0.692358	0.721548	-0.003108	0.004321	-0.000161	-0.999991
2	2974039728													0.053639	0.018047	-9.634893	-0.721534	-0.692373	-0.002952	-0.692366	0.721540	-0.003033	0.004230	-0.000145	-0.999991
3	2974048061													0.046536	0.026780	-9.652003	-0.721344	-0.692569	-0.003351	-0.692562	0.721351	-0.003223	0.004650	-0.000004	-0.999989
4	2974056394													0.051908	-0.013555	-9.651917	-0.721340	-0.692574	-0.003310	-0.692566	0.721347	-0.003142	0.004564	0.000026	-0.999990
5	2974064727													0.046243	-0.000522	-9.643905	-0.720989	-0.692937	-0.003696	-0.692931	0.720998	-0.002993	0.004739	0.000403	-0.999989
6	2974073060													0.056829	0.008147	-9.654614	-0.720983	-0.692943	-0.003657	-0.692937	0.720992	-0.002915	0.004657	0.000433	-0.999989
7	2974081393													0.031594	-0.006559	-9.663863	-0.720818	-0.693114	-0.003755	-0.693108	0.720828	-0.002892	0.004711	0.000517	-0.999989
8	2974089726													0.057280	0.016194	-9.665737	-0.720812	-0.693120	-0.003709	-0.693115	0.720822	-0.002819	0.004627	0.000539	-0.999989
9	2974098059													0.059948	0.033547	-9.654243	-0.720851	-0.693080	-0.003716	-0.693075	0.720860	-0.002730	0.004570	0.000607	-0.999989
10	2974106392													0.045971	0.013032	-9.663792	-0.720840	-0.693092	-0.003697	-0.693087	0.720849	-0.002643	0.004497	0.000657	-0.999990
11	2974114725													0.066543	-0.005472	-9.638371	-0.720815	-0.693118	-0.003787	-0.693113	0.720824	-0.002561	0.004505	0.000779	-0.999990
12	2974123058													0.064354	-0.007546	-9.644464	-0.720804	-0.693129	-0.003751	-0.693125	0.720813	-0.002483	0.004425	0.000810	-0.999990
13	2974131391													0.043954	0.010479	-9.630581	-0.720892	-0.693036	-0.003815	-0.693033	0.720902	-0.002417	0.004425	0.000901	-0.999990
14	2974139724													0.032238	-0.005608	-9.651159	-0.720891	-0.693039	-0.003770	-0.693035	0.720900	-0.002343	0.004342	0.000924	-0.999990
15	2974148057													0.034369	-0.004921	-9.657697	-0.720924	-0.693004	-0.003802	-0.693001	0.720933	-0.002307	0.004340	0.000971	-0.999990
16	2974156390													0.062087	0.006023	-9.619679	-0.720912	-0.693016	-0.003768	-0.693014	0.720921	-0.002218	0.004254	0.001013	-0.999990
17	2974164723													0.051136	0.004707	-9.632741	-0.720994	-0.692931	-0.003749	-0.692928	0.721003	-0.002167	0.004204	0.001035	-0.999991
18	2974173056													0.054154	0.021674	-9.653062	-0.720992	-0.692933	-0.003716	-0.692931	0.721001	-0.002076	0.004118	0.001078	-0.999991
19	2974181389													0.049247	0.021659	-9.627297	-0.721073	-0.692849	-0.003703	-0.692847	0.721082	-0.002043	0.004085	0.001093	-0.999991
20	2974189722													0.041773	0.030636	-9.664536	-0.721068	-0.692854	-0.003679	-0.692852	0.721077	-0.001948	0.004002	0.001145	-0.999991
21	2974198055													0.048418	0.014563	-9.655416	-0.721089	-0.692833	-0.003675	-0.692831	0.721097	-0.001896	0.003964	0.001179	-0.999991
22	2974206388													0.049891	0.005501	-9.652812	-0.721080	-0.692843	-0.003623	-0.692841	0.721088	-0.001812	0.003868	0.001204	-0.999992
23	2974214721													0.050892	0.019534	-9.631468	-0.721101	-0.692821	-0.003621	-0.692820	0.721109	-0.001758	0.003829	0.001241	-0.999992
24	2974223054													0.036773	0.015035	-9.649457	-0.721091	-0.692831	-0.003575	-0.692830	0.721099	-0.001682	0.003743	0.001264	-0.999992
25	2974231387													0.058303	-0.012153	-9.635231	-0.721085	-0.692837	-0.003566	-0.692837	0.721093	-0.001605	0.003684	0.001313	-0.999992
26	2974239720													0.046143	-0.006538	-9.661387	-0.721081	-0.692841	-0.003533	-0.692841	0.721089	-0.001527	0.003606	0.001347	-0.999993
