// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
0	677788567													0.000000	0.000000	0.000000	0.002402	-0.890663	0.454657	0.337647	0.428680	0.837991	-0.941270	0.151501	0.301759
1	677796900													-9.363492	1.867796	2.521424	0.002863	-0.889949	0.456052	0.338873	0.429933	0.836853	-0.940828	0.152148	0.302811
2	677805233													-9.230040	1.851306	2.715160	0.003217	-0.889563	0.456801	0.339917	0.430575	0.836099	-0.940450	0.152585	0.303763
3	677813566													-9.152617	1.988912	3.318897	-0.006074	-0.887013	0.461704	0.340725	0.432248	0.834906	-0.940143	0.162385	0.299602
4	677821899													-9.081040	2.198024	3.299022	-0.005790	-0.887017	0.461700	0.341730	0.432156	0.834543	-0.939780	0.162609	0.300619
5	677830232													-9.021574	2.318391	3.180925	-0.012037	-0.883886	0.467547	0.346378	0.434945	0.831171	-0.938018	0.171953	0.300923
6	677838565													-9.058295	2.291188	2.830828	-0.011935	-0.883892	0.467539	0.347385	0.434784	0.830835	-0.937647	0.172332	0.301862
7	677846898													-9.059584	2.217688	2.345173	-0.017870	-0.880869	0.473023	0.355650	0.436557	0.826396	-0.934448	0.182999	0.305480
8	677855231													-8.970091	2.188399	2.549032	-0.018406	-0.881171	0.472439	0.356130	0.435750	0.826615	-0.934255	0.183465	0.305791
9	677863564													-9.147269	2.017263	2.963883	-0.024496	-0.878325	0.477436	0.359663	0.437858	0.823968	-0.932761	0.191900	0.305175
10	677871897													-9.273374	1.854702	2.956081	-0.024845	-0.878703	0.476722	0.360847	0.436837	0.823992	-0.932294	0.192496	0.306224
11	677880230													-9.223959	1.755656	2.760872	-0.028891	-0.876413	0.480693	0.363283	0.438804	0.821874	-0.931231	0.198373	0.305708
12	677888563													-9.303110	1.742750	2.935189	-0.029213	-0.876819	0.479933	0.364480	0.437736	0.821913	-0.930753	0.198937	0.306795
13	677896896													-9.267947	1.897340	3.197766	-0.030832	-0.875118	0.482926	0.365335	0.439858	0.820400	-0.930365	0.201724	0.306149
14	677905229													-9.240724	1.993141	2.995849	-0.031112	-0.875574	0.482081	0.366291	0.438772	0.820554	-0.929980	0.202111	0.307064
15	677913562													-9.272354	1.881135	2.543107	-0.031407	-0.874349	0.484280	0.366723	0.440648	0.819356	-0.929800	0.203331	0.306804
16	677921895													-9.264986	1.818855	2.731995	-0.031730	-0.875053	0.482986	0.367333	0.439202	0.819859	-0.929548	0.203430	0.307500
17	677930228													-9.268588	2.001522	2.820241	-0.031949	-0.874248	0.484428	0.367029	0.440552	0.819270	-0.929661	0.203974	0.306799
18	677938561													-9.330397	1.981857	2.859300	-0.032491	-0.874953	0.483116	0.367474	0.439057	0.819873	-0.929466	0.204170	0.307257
19	677946894													-9.257556	1.859343	2.776374	-0.032755	-0.874327	0.484230	0.366770	0.440174	0.819589	-0.929735	0.204446	0.306259
20	677955227													-9.462329	1.729445	3.149468	-0.033274	-0.875065	0.482861	0.367249	0.438625	0.820205	-0.929527	0.204622	0.306771
21	677963560													-9.128047	1.676781	3.005600	-0.033181	-0.874759	0.483421	0.367076	0.439217	0.819966	-0.929599	0.204659	0.306530
22	677971893													-9.227137	1.633109	2.934302	-0.033559	-0.875848	0.481419	0.368047	0.437009	0.820710	-0.929201	0.204726	0.307688
23	677980226													-9.075436	1.752302	3.071855	-0.032841	-0.875916	0.481344	0.368346	0.437097	0.820529	-0.929109	0.204248	0.308285
24	677988559													-9.136063	1.777722	3.138651	-0.032844	-0.876811	0.479712	0.369607	0.435290	0.820922	-0.928607	0.204268	0.309779
25	677996892													-9.176313	1.686991	2.997768	-0.031807	-0.876842	0.479726	0.369969	0.435548	0.820623	-0.928500	0.203585	0.310550
26	678005225													-9.209218	1.726169	2.889546	-0.031901	-0.877630	0.478275	0.370925	0.433951	0.821037	-0.928115	0.203596	0.311692
27	678013558													-9.307354	1.793014	3.002456	-0.030943	-0.877637	0.478327	0.371225	0.434234	0.820751	-0.928027	0.202964	0.312365
28	678021891													-9.262209	1.681811	3.034081	-0.031146	-0.878371	0.476963	0.372368	0.432646	0.821072	-0.927562	0.203179	0.313602
29	678030224													-9.143179	1.630486	3.034289	-0.030204	-0.878462	0.476856	0.372925	0.432722	0.820779	-0.927370	0.202622	0.314531
30	678038557													-9.010580	1.622301	2.945310	-0.030637	-0.879313	0.475258	0.373865	0.430886	0.821318	-0.926977	0.202845	0.315543
31	678046890													-9.068158	1.571528	3.170522	-0.030014	-0.879376	0.475182	0.373831	0.431020	0.821262	-0.927011	0.202287	0.315801
32	678055223													-9.064552	1.582444	3.125083	-0.030734	-0.879829	0.474295	0.374246	0.429873	0.821675	-0.926820	0.202757	0.316060
