// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
0	677854107													0.000000	0.000000	0.000000	-0.999018	-0.044057	-0.004717	-0.043926	0.998723	-0.024962	0.005811	-0.024730	-0.999677
1	677862440													0.063381	-0.257073	-9.667117	-0.999018	-0.044074	-0.004593	-0.043946	0.998723	-0.024912	0.005685	-0.024685	-0.999679
2	677870773													0.057902	-0.252466	-9.656137	-0.999034	-0.043795	-0.003683	-0.043692	0.998744	-0.024520	0.004753	-0.024335	-0.999693
3	677879106													0.051107	-0.267337	-9.647798	-0.999033	-0.043833	-0.003555	-0.043733	0.998744	-0.024447	0.004622	-0.024268	-0.999695
4	677887439													0.062366	-0.248597	-9.651503	-0.999028	-0.043934	-0.003684	-0.043830	0.998735	-0.024652	0.004763	-0.024466	-0.999689
5	677895772													0.054505	-0.235235	-9.648899	-0.999026	-0.043970	-0.003565	-0.043870	0.998734	-0.024595	0.004642	-0.024414	-0.999691
6	677904105													0.047109	-0.230880	-9.660108	-0.999030	-0.043894	-0.003642	-0.043791	0.998732	-0.024841	0.004728	-0.024658	-0.999685
7	677912438													0.048403	-0.240464	-9.638349	-0.999029	-0.043917	-0.003523	-0.043817	0.998732	-0.024783	0.004607	-0.024605	-0.999687
8	677920771													0.045170	-0.261329	-9.676474	-0.999023	-0.044049	-0.003486	-0.043949	0.998725	-0.024842	0.004576	-0.024665	-0.999685
9	677929104													0.072437	-0.239277	-9.672582	-0.999022	-0.044084	-0.003366	-0.043988	0.998725	-0.024779	0.004454	-0.024607	-0.999687
10	677937437													0.060706	-0.258876	-9.644386	-0.999020	-0.044129	-0.003278	-0.044035	0.998721	-0.024827	0.004369	-0.024658	-0.999686
11	677945770													0.040028	-0.246766	-9.655751	-0.999020	-0.044155	-0.003148	-0.044064	0.998721	-0.024782	0.004238	-0.024619	-0.999688
12	677954103													0.038167	-0.247481	-9.676159	-0.999026	-0.044017	-0.003128	-0.043926	0.998726	-0.024836	0.004218	-0.024674	-0.999687
13	677962436													0.051751	-0.253425	-9.668533	-0.999025	-0.044046	-0.003019	-0.043958	0.998726	-0.024762	0.004106	-0.024605	-0.999689
14	677970769													0.047130	-0.246902	-9.657661	-0.999028	-0.043985	-0.002943	-0.043899	0.998728	-0.024787	0.004030	-0.024634	-0.999688
15	677979102													0.043611	-0.257767	-9.659335	-0.999026	-0.044029	-0.002815	-0.043946	0.998727	-0.024744	0.003901	-0.024597	-0.999690
16	677987435													0.043539	-0.244155	-9.658641	-0.999021	-0.044157	-0.002734	-0.044076	0.998721	-0.024792	0.003825	-0.024647	-0.999689
17	677995768													0.047438	-0.229292	-9.675858	-0.999020	-0.044182	-0.002615	-0.044104	0.998720	-0.024749	0.003705	-0.024609	-0.999690
18	678004101													0.062208	-0.259748	-9.669792	-0.999016	-0.044281	-0.002526	-0.044205	0.998715	-0.024792	0.003621	-0.024656	-0.999689
19	678012434													0.061207	-0.257009	-9.654364	-0.999015	-0.044308	-0.002404	-0.044235	0.998715	-0.024740	0.003497	-0.024609	-0.999691
20	678020767													0.043039	-0.246294	-9.670143	-0.999011	-0.044403	-0.002343	-0.044331	0.998710	-0.024759	0.003439	-0.024631	-0.999691
21	678029100													0.047395	-0.256014	-9.660429	-0.999010	-0.044438	-0.002224	-0.044369	0.998710	-0.024689	0.003319	-0.024566	-0.999693
22	678037433													0.062995	-0.265449	-9.670472	-0.999009	-0.044448	-0.002171	-0.044381	0.998709	-0.024694	0.003266	-0.024573	-0.999693
23	678045766													0.052001	-0.247045	-9.672503	-0.999008	-0.044488	-0.002051	-0.044424	0.998709	-0.024630	0.003144	-0.024515	-0.999695
24	678054099													0.044426	-0.262795	-9.650752	-0.999006	-0.044526	-0.002016	-0.044463	0.998707	-0.024642	0.003110	-0.024528	-0.999694
25	678062432													0.041029	-0.226867	-9.638599	-0.999005	-0.044558	-0.001886	-0.044498	0.998707	-0.024576	0.002978	-0.024467	-0.999696
26	678070765													0.063067	-0.243697	-9.658176	-0.999004	-0.044590	-0.001832	-0.044532	0.998705	-0.024593	0.002927	-0.024487	-0.999696
27	678079098													0.058088	-0.235858	-9.658477	-0.999002	-0.044628	-0.001700	-0.044573	0.998705	-0.024541	0.002793	-0.024440	-0.999697
28	678087431													0.053274	-0.246508	-9.665472	-0.999002	-0.044638	-0.001645	-0.044584	0.998704	-0.024539	0.002739	-0.024442	-0.999698
29	678095764													0.056465	-0.250729	-9.638206	-0.999001	-0.044665	-0.001520	-0.044615	0.998704	-0.024487	0.002612	-0.024394	-0.999699
30	678104097													0.063145	-0.250671	-9.651224	-0.998993	-0.044837	-0.001465	-0.044788	0.998696	-0.024485	0.002561	-0.024395	-0.999699
31	678112430													0.055621	-0.241952	-9.654643	-0.998992	-0.044879	-0.001328	-0.044833	0.998696	-0.024419	0.002422	-0.024335	-0.999701
32	678120763													0.059969	-0.244577	-9.663491	-0.998990	-0.044917	-0.001289	-0.044872	0.998695	-0.024399	0.002383	-0.024316	-0.999701
33	678129096													0.045528	-0.248497	-9.663970	-0.998989	-0.044948	-0.001167	-0.044906	0.998695	-0.024334	0.002259	-0.024257	-0.999703
34	678137429													0.053954	-0.246465	-9.665987	-0.998986	-0.045017	-0.001130	-0.044976	0.998692	-0.024329	0.002224	-0.024254	-0.999703
35	678145762													0.055041	-0.244770	-9.656746	-0.998985	-0.045044	-0.001007	-0.045006	0.998692	-0.024263	0.002098	-0.024193	-0.999705
36	678154095													0.045814	-0.254269	-9.643713	-0.998993	-0.044866	-0.000967	-0.044830	0.998701	-0.024229	0.002052	-0.024161	-0.999706
37	678162428													0.046730	-0.238419	-9.673383	-0.998992	-0.044888	-0.000841	-0.044855	0.998701	-0.024158	0.001924	-0.024096	-0.999708
38	678170761													0.048732	-0.233068	-9.666116	-0.998986	-0.045020	-0.000786	-0.044988	0.998696	-0.024130	0.001872	-0.024070	-0.999709
