// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
0	2973970240													0.000000	0.000000	0.000000	0.069180	-0.930453	0.359821	-0.191540	0.341586	0.920126	-0.979044	-0.132575	-0.154588
1	2973978573													-9.564919	-0.832966	-1.519747	0.069254	-0.930124	0.360656	-0.191319	0.342430	0.919858	-0.979082	-0.132704	-0.154235
2	2973986906													-9.590618	-0.745759	-1.451707	0.063098	-0.930367	0.361160	-0.191394	0.343884	0.919300	-0.979483	-0.127130	-0.156368
3	2973995239													-9.636296	-0.799819	-1.346770	0.063248	-0.930218	0.361518	-0.191190	0.344240	0.919209	-0.979513	-0.127257	-0.156076
4	2974003572													-9.670521	-0.829558	-1.469516	0.051780	-0.929206	0.365915	-0.187037	0.350900	0.917544	-0.980987	-0.115950	-0.155626
5	2974011905													-9.572209	-0.761501	-1.572347	0.052030	-0.929138	0.366055	-0.187107	0.350990	0.917495	-0.980961	-0.116229	-0.155586
6	2974020238													-9.518771	-0.711358	-1.621364	0.043824	-0.927368	0.371575	-0.183416	0.358142	0.915474	-0.982058	-0.108273	-0.154398
7	2974028571													-9.506719	-0.652353	-1.546393	0.044108	-0.927265	0.371798	-0.183696	0.358287	0.915361	-0.981993	-0.108673	-0.154531
8	2974036904													-9.532356	-0.726309	-1.527471	0.037811	-0.925609	0.376587	-0.182264	0.364147	0.913333	-0.982522	-0.103173	-0.154937
9	2974045237													-9.550547	-0.979710	-1.711421	0.038114	-0.925662	0.376426	-0.182540	0.363912	0.913371	-0.982459	-0.103525	-0.155100
10	2974053570													-9.665039	-1.127355	-1.957829	0.033439	-0.924624	0.379410	-0.181629	0.367679	0.912043	-0.982798	-0.099410	-0.155644
11	2974061903													-9.750297	-1.179677	-1.871774	0.033845	-0.924727	0.379124	-0.181786	0.367317	0.912158	-0.982756	-0.099792	-0.155670
12	2974070236													-9.671070	-1.285643	-1.808480	0.031293	-0.923698	0.381841	-0.182576	0.370318	0.910786	-0.982694	-0.098216	-0.157056
13	2974078569													-9.663432	-1.421883	-1.640881	0.031711	-0.923669	0.381876	-0.182458	0.370299	0.910817	-0.982702	-0.098559	-0.156788
14	2974086902													-9.653079	-1.391030	-1.565145	0.030700	-0.922701	0.384291	-0.183914	0.372693	0.909547	-0.982463	-0.098599	-0.158256
15	2974095235													-9.634905	-1.368592	-1.417353	0.030967	-0.922417	0.384951	-0.183756	0.373317	0.909323	-0.982484	-0.098896	-0.157939
16	2974103568													-9.689050	-1.281363	-1.386295	0.031172	-0.921291	0.387622	-0.185185	0.375773	0.908021	-0.982209	-0.100086	-0.158896
17	2974111901													-9.699585	-1.031613	-1.351963	0.031577	-0.921017	0.388239	-0.185020	0.376334	0.907822	-0.982227	-0.100498	-0.158523
18	2974120234													-9.538822	-0.848833	-1.307965	0.032556	-0.920090	0.390352	-0.186001	0.378159	0.906862	-0.982010	-0.102129	-0.158826
19	2974128567													-9.544928	-0.813388	-1.314370	0.032975	-0.919930	0.390694	-0.186085	0.378421	0.906736	-0.981980	-0.102602	-0.158707
