// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[1][2]	Mat[1][3]	Mat[2][1]	Mat[2][2]	Mat[2][3]	Mat[3][1]	Mat[3][2]	Mat[3][3]
0	677851206													0.000000	0.000000	0.000000	-0.257911	0.202187	0.944776	0.359213	0.927829	-0.100500	-0.896910	0.313456	-0.311926
1	677859539													-8.419514	2.913250	-2.547663	-0.257868	0.201468	0.944942	0.359051	0.927960	-0.099865	-0.896988	0.313530	-0.311628
2	677867872													-8.476286	2.922038	-2.351833	-0.250352	0.195825	0.948144	0.358602	0.928430	-0.097067	-0.899294	0.315705	-0.302657
3	677876205													-8.584093	2.957820	-2.321036	-0.250353	0.195304	0.948251	0.358595	0.928486	-0.096558	-0.899296	0.315864	-0.302484
4	677884538													-8.622381	3.026494	-2.606148	-0.242896	0.188286	0.951604	0.356449	0.929678	-0.092965	-0.902189	0.316618	-0.292929
5	677892871													-8.553071	3.122862	-2.836141	-0.242824	0.187946	0.951690	0.356474	0.929700	-0.092648	-0.902199	0.316755	-0.292751
6	677901204													-8.560771	3.205405	-2.897706	-0.237469	0.181413	0.954305	0.354243	0.930926	-0.088819	-0.904500	0.316964	-0.285330
7	677909537													-8.645127	3.234960	-2.877666	-0.237361	0.181091	0.954393	0.354250	0.930950	-0.088540	-0.904526	0.317078	-0.285123
8	677917870													-8.738988	3.127574	-2.838826	-0.236246	0.176802	0.955473	0.353994	0.931394	-0.084819	-0.904918	0.318193	-0.282625
9	677926203													-8.822621	2.970464	-2.886702	-0.236095	0.176057	0.955648	0.354142	0.931403	-0.084099	-0.904899	0.318579	-0.282249
10	677934536													-8.850221	2.973902	-2.945768	-0.236305	0.172205	0.956298	0.354433	0.931637	-0.080183	-0.904730	0.319996	-0.281186
11	677942869													-8.813790	3.070119	-2.967390	-0.235892	0.171467	0.956532	0.354635	0.931615	-0.079544	-0.904759	0.320456	-0.280569
12	677951202													-8.758329	3.102507	-3.074823	-0.236898	0.168369	0.956834	0.354139	0.932072	-0.076333	-0.904691	0.320769	-0.280432
13	677959535													-8.720440	3.114676	-3.296757	-0.236671	0.167797	0.956991	0.354387	0.932023	-0.075777	-0.904653	0.321211	-0.280048
14	677967868													-8.698066	3.123066	-3.288924	-0.238500	0.164945	0.957032	0.353969	0.932443	-0.072495	-0.904336	0.321470	-0.280773
15	677976201													-8.684166	3.118056	-3.148803	-0.238556	0.164065	0.957170	0.354216	0.932423	-0.071542	-0.904224	0.321978	-0.280550
16	677984534													-8.717316	3.059577	-3.073183	-0.241307	0.161580	0.956903	0.353986	0.932758	-0.068236	-0.903585	0.322264	-0.282278
17	677992867													-8.794069	3.411537	-2.958732	-0.241279	0.160736	0.957052	0.354191	0.932744	-0.067360	-0.903511	0.322727	-0.281983
18	678001200													-8.725985	3.064041	-2.799842	-0.243570	0.158908	0.956777	0.353862	0.933044	-0.064882	-0.903026	0.322764	-0.283493
19	678009533													-8.848928	2.979705	-2.983114	-0.243393	0.158120	0.956952	0.353965	0.933056	-0.064143	-0.903033	0.323116	-0.283069
20	678017866													-8.651548	3.293307	-3.107708	-0.245288	0.155935	0.956827	0.353728	0.933329	-0.061425	-0.902613	0.323389	-0.284093
21	678026199													-8.753121	3.169955	-3.018966	-0.244972	0.155013	0.957058	0.353693	0.933393	-0.060648	-0.902713	0.323648	-0.283482
22	678034532													-8.731494	3.183344	-3.050378	-0.246624	0.152803	0.956989	0.353394	0.933674	-0.058008	-0.902380	0.323888	-0.284266
23	678042865													-8.717823	3.248957	-2.933330	-0.246447	0.151556	0.957233	0.353283	0.933785	-0.056888	-0.902471	0.324155	-0.283671
24	678051198													-8.731188	3.178192	-2.761097	-0.248064	0.149143	0.957194	0.352973	0.934070	-0.054064	-0.902150	0.324452	-0.284353
25	678059531													-8.774668	3.119397	-2.662866	-0.247880	0.147804	0.957450	0.352868	0.934179	-0.052855	-0.902241	0.324752	-0.283720
26	678067864													-8.888666	2.805656	-2.570261	-0.249206	0.145446	0.957466	0.352612	0.934424	-0.050169	-0.901976	0.325112	-0.284150
27	678076197													-8.512512	2.878319	-2.763639	-0.249256	0.143826	0.957698	0.352632	0.934501	-0.048564	-0.901955	0.325610	-0.283647
28	678084530													-8.537100	3.045509	-2.843634	-0.250386	0.141525	0.957746	0.352468	0.934694	-0.045972	-0.901706	0.326064	-0.283918
29	678092863													-8.477990	3.175676	-2.971258	-0.250459	0.139732	0.957990	0.352521	0.934761	-0.044180	-0.901665	0.326646	-0.283378
30	678101196													-8.432088	3.262790	-3.046467	-0.251639	0.136434	0.958156	0.352088	0.935082	-0.040680	-0.901505	0.327119	-0.283340
31	678109529													-8.549050	3.199482	-2.978072	-0.251622	0.134329	0.958458	0.352078	0.935173	-0.038635	-0.901514	0.327731	-0.282604
32	678117862													-8.586899	3.091230	-2.958659	-0.252504	0.131685	0.958593	0.351847	0.935372	-0.035815	-0.901358	0.328235	-0.282518
33	678126195													-8.744326	3.389991	-2.936994	-0.252315	0.129734	0.958909	0.351714	0.935489	-0.034020	-0.901462	0.328678	-0.281667
34	678134528													-9.043801	3.591092	-2.741657	-0.252336	0.127479	0.959206	0.351326	0.935709	-0.031934	-0.901608	0.328936	-0.280899
35	678142861													-8.923783	3.647132	-2.750665	-0.251361	0.125215	0.959760	0.350919	0.935919	-0.030199	-0.902039	0.329207	-0.279194
36	678151194													-8.465252	3.654473	-3.075814	-0.251214	0.122974	0.960088	0.350671	0.936076	-0.028143	-0.902176	0.329605	-0.278279
37	678159527													-8.531292	3.280638	-3.069247	-0.250666	0.120947	0.960489	0.350351	0.936245	-0.026460	-0.902452	0.329876	-0.277059
38	678167860													-8.823961	3.050473	-2.771600	-0.251038	0.118159	0.960738	0.350047	0.936432	-0.023703	-0.902467	0.330353	-0.276441
39	678176193													-8.921864	2.912788	-2.831086	-0.250543	0.115997	0.961131	0.349728	0.936596	-0.021870	-0.902728	0.330655	-0.275225
40	678184526													-8.799143	2.999856	-2.966213	-0.250877	0.113428	0.961351	0.349645	0.936684	-0.019273	-0.902668	0.331296	-0.274652
41	678192859													-8.609103	3.049301	-3.013386	-0.250647	0.111428	0.961645	0.349579	0.936745	-0.017427	-0.902757	0.331803	-0.273745
42	678201192													-8.658910	3.093942	-2.995637	-0.251162	0.109354	0.961748	0.349554	0.936793	-0.015230	-0.902624	0.332357	-0.273512
43	678209525													-8.747313	3.162813	-2.922904	-0.250745	0.107967	0.962013	0.349607	0.936791	-0.014013	-0.902719	0.332813	-0.272642
44	678217858													-8.795565	3.252136	-2.749693	-0.250657	0.106662	0.962182	0.349620	0.936805	-0.012770	-0.902739	0.333197	-0.272107
45	678226191													-8.852764	3.282623	-2.775143	-0.249552	0.105831	0.962561	0.349669	0.936792	-0.012343	-0.903026	0.333497	-0.270784
46	678234524													-8.921509	3.365201	-2.742031	-0.249128	0.104672	0.962797	0.349681	0.936800	-0.011364	-0.903138	0.333840	-0.269985
47	678242857													-8.924256	3.447823	-2.583848	-0.248135	0.103684	0.963161	0.349751	0.936781	-0.010740	-0.903384	0.334201	-0.268712
48	678251190													-8.924033	3.464208	-2.390931	-0.247766	0.102540	0.963378	0.349814	0.936769	-0.009741	-0.903461	0.334589	-0.267969
49	678259523													-8.873796	3.523373	-2.289733	-0.246775	0.101466	0.963746	0.349898	0.936744	-0.009029	-0.903700	0.334985	-0.266668
50	678267856													-8.811997	3.582746	-2.251915	-0.245965	0.100762	0.964027	0.350110	0.936669	-0.008574	-0.903839	0.335406	-0.265666
51	678276189													-8.771687	3.490364	-2.378749	-0.244764	0.099717	0.964441	0.350226	0.936631	-0.007958	-0.904120	0.335825	-0.264177
52	678284522													-8.853747	3.453155	-2.573913	-0.243962	0.097880	0.964833	0.350381	0.936585	-0.006419	-0.904276	0.336493	-0.262787
53	678292855													-8.929012	3.376394	-2.464700	-0.242581	0.096302	0.965340	0.350636	0.936497	-0.005313	-0.904549	0.337194	-0.260943
54	678301188													-8.944762	3.249135	-2.423290	-0.241108	0.095152	0.965822	0.351163	0.936303	-0.004579	-0.904738	0.338057	-0.259164
55	678309521													-8.954777	3.078775	-2.538983	-0.239223	0.094474	0.966357	0.351642	0.936124	-0.004469	-0.905053	0.338742	-0.257164
56	678317854													-8.924753	2.957415	-2.511513	-0.237423	0.094187	0.966829	0.352269	0.935887	-0.004667	-0.905283	0.339476	-0.255380
57	678326187													-8.905589	2.931421	-2.656386	-0.235561	0.094041	0.967299	0.352710	0.935719	-0.005078	-0.905597	0.339979	-0.253589
58	678334520													-8.869966	2.977659	-2.583323	-0.233974	0.093804	0.967707	0.353084	0.935576	-0.005320	-0.905863	0.340437	-0.252021
59	678342853													-8.841829	3.040822	-2.551188	-0.232037	0.094085	0.968146	0.353460	0.935429	-0.006191	-0.906215	0.340764	-0.250309
60	678351186													-8.796827	3.103113	-2.459892	-0.230104	0.094634	0.968554	0.353818	0.935286	-0.007325	-0.906568	0.341006	-0.248697
61	678359519													-8.763593	3.202383	-2.491498	-0.227873	0.095427	0.969003	0.354194	0.935130	-0.008798	-0.906984	0.341211	-0.246890
62	678367852													-8.733173	3.314025	-2.541369	-0.225870	0.096201	0.969396	0.354460	0.935016	-0.010200	-0.907382	0.341308	-0.245291
63	678376185													-8.675050	3.327837	-2.644241	-0.223902	0.097109	0.969762	0.354785	0.934875	-0.011701	-0.907742	0.341437	-0.243773
64	678384518													-8.623418	3.343306	-2.646417	-0.222390	0.097673	0.970053	0.355003	0.934778	-0.012735	-0.908028	0.341540	-0.242560
65	678392851													-8.619331	3.363597	-2.433545	-0.220530	0.098557	0.970388	0.355358	0.934623	-0.014166	-0.908343	0.341711	-0.241135
66	678401184													-8.622189	3.355073	-2.285043	-0.218880	0.099332	0.970683	0.355661	0.934488	-0.015430	-0.908624	0.341856	-0.239869
67	678409517													-8.607247	3.440639	-2.381224	-0.216977	0.100498	0.970990	0.356115	0.934285	-0.017122	-0.908902	0.342069	-0.238507
68	678417850													-8.580825	3.505102	-2.469414	-0.215592	0.100967	0.971250	0.356440	0.934145	-0.017989	-0.909104	0.342314	-0.237383
69	678426183													-8.559772	3.502688	-2.542159	-0.214005	0.101445	0.971551	0.356881	0.933958	-0.018909	-0.909306	0.342682	-0.236075
70	678434516													-8.552334	3.464078	-2.636753	-0.212987	0.101284	0.971791	0.357279	0.933804	-0.019020	-0.909389	0.343149	-0.235075
71	678442849													-8.590178	3.357808	-2.557549	-0.212042	0.101069	0.972020	0.357703	0.933641	-0.019047	-0.909443	0.343656	-0.234124
72	678451182													-8.656137	3.330834	-2.585033	-0.211747	0.100238	0.972171	0.358095	0.933507	-0.018255	-0.909357	0.344264	-0.233562
73	678459515													-8.718127	3.230880	-2.564171	-0.211178	0.099645	0.972355	0.358555	0.933339	-0.017775	-0.909309	0.344889	-0.232829
74	678467848													-8.715240	3.187687	-2.507725	-0.210757	0.098897	0.972523	0.358954	0.933198	-0.017108	-0.909249	0.345486	-0.232177
75	678476181													-8.678704	3.181170	-2.570702	-0.209735	0.098653	0.972769	0.359317	0.933058	-0.017155	-0.909342	0.345935	-0.231143
76	678484514													-8.650392	3.194627	-2.640694	-0.209010	0.098239	0.972967	0.359552	0.932971	-0.016963	-0.909416	0.346287	-0.230322
77	678492847													-8.648998	3.310127	-2.515560	-0.207856	0.098043	0.973234	0.359663	0.932924	-0.017168	-0.909637	0.346467	-0.229176
78	678501180													-8.684864	3.318292	-2.446321	-0.207025	0.097825	0.973433	0.359638	0.932932	-0.017268	-0.909836	0.346509	-0.228322
79	678509513													-8.691528	3.231728	-2.369663	-0.205993	0.097435	0.973691	0.359525	0.932975	-0.017300	-0.910115	0.346503	-0.227216
80	678517846													-8.718552	3.188896	-2.326284	-0.205587	0.096599	0.973860	0.359350	0.933054	-0.016691	-0.910275	0.346525	-0.226537
81	678526179													-8.822315	3.215026	-2.332911	-0.204965	0.095891	0.974061	0.359244	0.933102	-0.016265	-0.910458	0.346592	-0.225701
82	678534512													-8.853219	3.262962	-2.309340	-0.204860	0.095056	0.974165	0.359139	0.933155	-0.015530	-0.910523	0.346679	-0.225304
83	678542845													-8.837477	3.231506	-2.350378	-0.204542	0.094197	0.974315	0.359062	0.933196	-0.014842	-0.910624	0.346803	-0.224701
84	678551178													-8.855031	3.221218	-2.326764	-0.204647	0.093063	0.974402	0.358897	0.933276	-0.013759	-0.910666	0.346894	-0.224392
85	678559511													-8.858955	3.167648	-2.277866	-0.204269	0.092206	0.974563	0.358759	0.933338	-0.013110	-0.910805	0.346955	-0.223731
86	678567844													-8.845838	3.159683	-2.285676	-0.204000	0.091364	0.974698	0.358527	0.933436	-0.012458	-0.910957	0.346914	-0.223178
87	678576177													-8.883768	3.216392	-2.162620	-0.203219	0.090702	0.974923	0.358295	0.933529	-0.012165	-0.911222	0.346838	-0.222209
88	678584510													-8.832148	3.185011	-2.043795	-0.202618	0.090086	0.975105	0.357943	0.933668	-0.011880	-0.911495	0.346625	-0.221423
89	678592843													-8.791529	3.199497	-1.957768	-0.201618	0.089690	0.975349	0.357611	0.933794	-0.011945	-0.911847	0.346387	-0.220344
90	678601176													-8.853592	3.220542	-1.979622	-0.200997	0.089070	0.975534	0.357147	0.933975	-0.011689	-0.912166	0.346059	-0.219537
91	678609509													-8.895835	3.197449	-1.935821	-0.200158	0.088645	0.975745	0.356762	0.934122	-0.011680	-0.912501	0.345771	-0.218597
92	678617842													-9.013562	3.248352	-1.946134	-0.199710	0.087913	0.975903	0.356230	0.934330	-0.011268	-0.912807	0.345396	-0.217913
93	678626175													-9.076238	3.243254	-1.944167	-0.198781	0.087727	0.976110	0.355850	0.934472	-0.011517	-0.913158	0.345059	-0.216973
94	678634508													-8.996821	3.252920	-1.951445	-0.198023	0.087457	0.976288	0.355396	0.934643	-0.011641	-0.913499	0.344663	-0.216162
95	678642841													-8.875976	3.272933	-2.097464	-0.197106	0.087266	0.976491	0.354999	0.934791	-0.011882	-0.913852	0.344311	-0.215232
96	678651174													-8.790572	3.321574	-2.141063	-0.196540	0.086712	0.976654	0.354419	0.935014	-0.011693	-0.914199	0.343847	-0.214500
97	678659507													-8.719976	3.277304	-2.134537	-0.195784	0.086399	0.976834	0.353915	0.935203	-0.011783	-0.914556	0.343409	-0.213676
98	678667840													-8.745514	3.267041	-2.143692	-0.195228	0.085913	0.976988	0.353242	0.935459	-0.011674	-0.914935	0.342834	-0.212976
99	678676173													-8.792539	3.230912	-2.210705	-0.194232	0.085827	0.977194	0.352616	0.935690	-0.012094	-0.915388	0.342225	-0.212005
100	678684506													-8.815271	3.222742	-2.386863	-0.193474	0.085402	0.977381	0.351853	0.935977	-0.012134	-0.915843	0.341547	-0.211136
